aligner,dataset,abbrev,mean_seg_bases_aligned_correct,mean_seg_bases_aligned_ambiguous,mean_seg_bases_aligned_incorrect,mean_seg_bases_unaligned,lower_seg_bases_aligned_correct,lower_seg_bases_aligned_ambiguous,lower_seg_bases_aligned_incorrect,lower_seg_bases_unaligned,upper_seg_bases_aligned_correct,upper_seg_bases_aligned_ambiguous,upper_seg_bases_aligned_incorrect,upper_seg_bases_unaligned
DeepSAP,baruzzo_human_t1r1,HT1,0.9783066032792032,0.014511357090804684,0.005325425190127849,0.0018566144398646923,0.9782265923488054,0.014446554039119795,0.0052802526291612206,0.0018482690499958716,0.9783873569660845,0.014588024745299332,0.005372942313700795,0.0018643040142842262
DeepSAP,baruzzo_human_t2r1,HT2,0.9760176231472417,0.01478698129679022,0.006809258980265977,0.002386136575702831,0.9759334941719834,0.014718058123005667,0.00676328133801351,0.002377367076700766,0.9761058422601879,0.014859842745732009,0.00685787445446718,0.0023955288516256446
DeepSAP,baruzzo_human_t3r1,HT3,0.9125502021177976,0.01919587180997651,0.02132413492375075,0.04692979114847624,0.9124262363446772,0.019108001999260747,0.02124239587397744,0.046892761587606996,0.9126749881186743,0.019281418793105288,0.021410068894195985,0.04696841088128264
DeepSAP,baruzzo_malaria_t1r1,MT1,0.9808986421750627,0.014000590931518965,0.0013997020181965567,0.003701064875220705,0.9808240524165704,0.013934586798181416,0.001385297605099909,0.0036798215362692727,0.9809710647473373,0.014074806841436761,0.0014145276039535895,0.0037214537121999756
DeepSAP,baruzzo_malaria_t2r1,MT2,0.9771873705624711,0.014080132018834445,0.004212496391667732,0.004520001027027026,0.9771092462224588,0.014008158345532219,0.004186552305854217,0.004499790998550764,0.9772687216585452,0.014150705304372721,0.004237420665915201,0.0045385156221924424
DeepSAP,baruzzo_malaria_t3r1,MT3,0.9059828076708689,0.016454481490084365,0.02090733475286633,0.056655376086180056,0.905869862648946,0.01638584748114968,0.02085392262785919,0.056610490329970654,0.9060872690485821,0.016536410779045926,0.02095851993165908,0.056701475391926534
DRAGEN,baruzzo_human_t1r1,HT1,0.9773143485022461,0.017421848269597983,0.00285035505687399,0.0024134481712823476,0.977225317017298,0.017342246163345953,0.0028184522375322837,0.0023926571843483884,0.9773943387317197,0.01749981586723218,0.0028831142910185387,0.002433508201352608
DRAGEN,baruzzo_human_t2r1,HT2,0.9740218472170437,0.017306066480576705,0.004311607002768413,0.004360479299610876,0.9739259413403909,0.01722606643347018,0.0042756139528625425,0.004335005009389522,0.9741111554490296,0.017391344469329287,0.00434478685240884,0.004387050814026865
DRAGEN,baruzzo_human_t3r1,HT3,0.9003909293560854,0.01842793999661058,0.01055583286495784,0.07062529778234589,0.9002683385603972,0.018343112934894306,0.010505514863477297,0.07054716471892308,0.9005075905204432,0.018513757694212322,0.010605372390141275,0.07069067027596913
DRAGEN,baruzzo_malaria_t1r1,MT1,0.9783171930366309,0.017495898620110327,0.0011458741897084899,0.0030410341535502972,0.9782323937130456,0.017410728495245043,0.0011320223778084144,0.003030205473594339,0.9784017301463974,0.017578668391679524,0.0011593130507715603,0.0030514798508571466
DRAGEN,baruzzo_malaria_t2r1,MT2,0.9700692031014422,0.01847470619982042,0.004250303099860082,0.00720578759887758,0.9699851912102844,0.01839354127844591,0.004225462155133116,0.007186816702620017,0.9701607732289061,0.018553156069321664,0.004275618931795279,0.007223585896456362
DRAGEN,baruzzo_malaria_t3r1,MT3,0.8562789784718874,0.024569641678237854,0.014278802007510836,0.10487257784236377,0.8561497346678737,0.024478274107782482,0.014239395662870035,0.10478736370833801,0.8564000490849506,0.02466404733716642,0.014319651819241535,0.10496075064274119
novoSplice,baruzzo_human_t1r1,HT1,0.9592416771201059,0.03676175081433087,0.0009835462963794655,0.0030130257691839,0.9591078154499494,0.03665341883698216,0.0009668873291778212,0.002992254196612104,0.9593571017249095,0.036888045211188096,0.001000367592948773,0.0030374745056525113
novoSplice,baruzzo_human_t2r1,HT2,0.9502733886500986,0.043764929943923336,0.0017981027821372321,0.004163578623840815,0.950139546071512,0.04364218569836192,0.0017774538857422118,0.004142600900888789,0.9503963022401052,0.04389061504133318,0.001819439097226028,0.004186265005963996
novoSplice,baruzzo_human_t3r1,HT3,0.841031428844156,0.05311165004962008,0.006634225717822933,0.09922269538840023,0.8408461139946253,0.052966659052374354,0.006602514884586905,0.09909694903738064,0.8412199308195497,0.053245960617816085,0.006667861665143032,0.09935201979371941
novoSplice,baruzzo_malaria_t1r1,MT1,0.9691576802257975,0.027151519282722247,0.00046597858660660273,0.003224821904875271,0.9690619819004582,0.027058010003864257,0.000457730553970279,0.0032116225132684164,0.9692556121439891,0.027244454999678997,0.00047365750586338877,0.003238366251726741
novoSplice,baruzzo_malaria_t2r1,MT2,0.9607596753444423,0.031646049777730466,0.0025234423339387142,0.005070832543888616,0.9606470767584636,0.03153266989288211,0.002504937786426909,0.005054626076322677,0.9608780806029696,0.03176349912930963,0.0025403543251253883,0.005086156832249669
novoSplice,baruzzo_malaria_t3r1,MT3,0.792281731248576,0.04310284410138222,0.011338610844889475,0.1532768138051518,0.7920788418099179,0.0429863746134568,0.011303450446994993,0.1530952301015527,0.7924884906057726,0.04321274415699792,0.011372689416602492,0.1534499796353534
STAR,baruzzo_human_t1r1,HT1,0.9756544777786643,0.01922975519563448,0.00149244776636292,0.0036233192593379047,0.9755637388765349,0.019148749283227153,0.0014706301506291534,0.003596639146897569,0.9757450417021024,0.01930930673325167,0.0015126352544983172,0.0036497840343202854
STAR,baruzzo_human_t2r1,HT2,0.9653956486689559,0.0219944970479282,0.004084421368453152,0.008525432914663645,0.9652869535427285,0.02190699092639173,0.004054537096424842,0.008492820829706477,0.9654891479023378,0.0220889882593071,0.0041138189809084595,0.008562879714443366
STAR,baruzzo_human_t3r1,HT3,0.7575422745867946,0.021783375233546006,0.00846608495151475,0.21220826522814346,0.757315289715179,0.021700037743228724,0.008422529634205731,0.2119861967181858,0.7577671754114024,0.021868207264673027,0.008509048745970523,0.21241212923130628
STAR,baruzzo_malaria_t1r1,MT1,0.9735362923869472,0.021512386085948992,0.0012203887693347482,0.0037309327577695777,0.9734439273357829,0.02143052460019141,0.0012081134933350285,0.003713164557345703,0.9736171748068985,0.021602607051707554,0.0012356069451472588,0.003748739648691033
STAR,baruzzo_malaria_t2r1,MT2,0.9529161511191656,0.03215891061943717,0.006526888477262464,0.008398049784136228,0.9528079080210757,0.032055539179308874,0.006498550800292762,0.008369454801989671,0.9530270006990047,0.03225891670891896,0.006557127912361068,0.008425488206609082
STAR,baruzzo_malaria_t3r1,MT3,0.6278349164577965,0.054031671004955976,0.015279742769018922,0.3028536697682285,0.627573694930631,0.053895457279389686,0.015238432928454703,0.3026333787630809,0.6280706454788374,0.054180394527155104,0.015327811815897385,0.3031011514798117
HISAT2,baruzzo_human_t1r1,HT1,0.9695184575012534,0.022931795953980153,0.0015595749562478689,0.005990171588519424,0.9694238421787965,0.02285031408139025,0.0015364610250783422,0.005959002749666964,0.9696109458302682,0.023024056569252736,0.0015828090222206883,0.0060231460025472056
HISAT2,baruzzo_human_t2r1,HT2,0.9115329991774657,0.023335006376080516,0.0024068849570416232,0.06272510948941193,0.9113901351307429,0.023248524761063302,0.0023826199473333826,0.06260975007929437,0.9116773910029775,0.023426483064104817,0.002432544750239597,0.06283154090418276
HISAT2,baruzzo_human_t3r1,HT3,0.22487290861912088,0.010968087825772499,0.0013125334959467722,0.7628464700591597,0.2246849564050395,0.01090459046985219,0.0012954363257006878,0.7626412516417229,0.22507769230539534,0.01102905793854445,0.0013283953936414307,0.7630444598573455
HISAT2,baruzzo_malaria_t1r1,MT1,0.9679418230702673,0.019670683086894482,0.0008543132226957425,0.011533180620141248,0.9678459006880799,0.0195870493494544,0.0008412219188148772,0.01149060333630252,0.9680361106950494,0.019757962133981136,0.0008664985223153732,0.01157782672653132
HISAT2,baruzzo_malaria_t2r1,MT2,0.8581103992009692,0.018842546322450027,0.002319812085080166,0.12072724239150072,0.8579436905975295,0.01876126396051656,0.002298752823652285,0.1205881129237684,0.8582845894403882,0.018922508417092043,0.0023408433906763615,0.12087127384087762
HISAT2,baruzzo_malaria_t3r1,MT3,0.05819533593311377,0.002202816921476018,0.00022976708166710127,0.9393720800637426,0.058092542595554734,0.0021757951314725706,0.00022363225082289097,0.9392769121060985,0.05828732448115087,0.002230752610784664,0.00023540213627027006,0.9394743014656308
Subjunc,baruzzo_human_t1r1,HT1,0.9248835998146557,0.0,0.006334765759801741,0.06878163442554236,0.9247410924653735,0.0,0.006292296079979034,0.06864680133243417,0.9250233989264917,0.0,0.0063720151438983064,0.06891659858229178
Subjunc,baruzzo_human_t2r1,HT2,0.8885637090000789,0.0,0.007381944913158611,0.10405434608676346,0.8883993467016873,0.0,0.007339043210661363,0.10388512887033172,0.8887303813808924,0.0,0.007424945096390142,0.10420941452366148
Subjunc,baruzzo_human_t3r1,HT3,0.42110409998617937,0.0,0.008050601232769917,0.5708452987810506,0.42088211724566144,0.0,0.008014645732091876,0.5706310147206572,0.42130901465930864,0.0,0.00808984569173173,0.5710665217914009
Subjunc,baruzzo_malaria_t1r1,MT1,0.9734611746821721,0.0,0.0039618270875877255,0.02257699823023961,0.9733794292136743,0.0,0.003935808057689216,0.022498115052693713,0.9735408633564681,0.0,0.0039886090821301,0.022652846135074997
Subjunc,baruzzo_malaria_t2r1,MT2,0.9220306263133817,0.0,0.005628431016034181,0.07234094267058502,0.921912756009722,0.0,0.005597714854635975,0.07221687169831223,0.922155281474599,0.0,0.005662347792969418,0.07245960249443903
Subjunc,baruzzo_malaria_t3r1,MT3,0.22116217593950277,0.0,0.01466299374757657,0.7641748303129198,0.22099121543659397,0.0,0.014613490932532721,0.764020852912956,0.22131356409672354,0.0,0.014710775618771996,0.7643400446771178
