Run,Dataset,F1_Junction,F1_Skipping,F1_Insertion,F1_Deletion
DeepSAP MS150,human T1,98.84596631,98.96528946,90.1260757,91.93463952
DRAGEN 4.0.3 default,human T1,95.79373052,96.11832623,82.79058328,84.77877713
novoSplice 0.8.4 default,human T1,94.73799396,95.36107725,86.0323606,87.09540629
STAR 2.7.10a default,human T1,95.94900201,95.82278355,75.27293585,82.56147907
HISAT2 2.2.1 default,human T1,97.09898123,97.45509158,78.07305915,79.99937353
Subjunc 2.0.1 default,human T1,97.09209478,94.82267112,85.88361508,88.70501454
DeepSAP MS150,human T2,98.59133575,98.60945042,87.77276877,89.33819899
DRAGEN 4.0.3 default,human T2,95.48829528,95.69754108,80.91919846,82.90442737
novoSplice 0.8.4 default,human T2,94.23375747,94.89585334,83.61717807,84.06103018
STAR 2.7.10a default,human T2,93.3521528,93.04241203,66.84821246,74.45710099
HISAT2 2.2.1 default,human T2,90.84351153,90.99598558,56.99111932,58.19640912
Subjunc 2.0.1 default,human T2,93.05258624,90.42314159,81.28098765,83.43680792
DeepSAP MS150,human T3,93.96973064,93.82162619,67.54619041,68.84831134
DRAGEN 4.0.3 default,human T3,88.61858331,87.55218252,59.385045,60.2925595
novoSplice 0.8.4 default,human T3,85.41303037,86.17803362,58.50819903,59.77519029
STAR 2.7.10a default,human T3,57.093419,54.23594953,23.56638337,26.75307911
HISAT2 2.2.1 default,human T3,10.72013859,10.51690072,1.744068075,1.685073871
Subjunc 2.0.1 default,human T3,41.10711661,39.44829278,22.12259287,21.3889813
DeepSAP MS150,malaria T1,99.52886922,99.22604957,89.53837681,89.39990959
DRAGEN 4.0.3 default,malaria T1,95.48679728,95.06949233,81.0394379,80.90308836
novoSplice 0.8.4 default,malaria T1,96.5446428,96.38384811,89.39843567,88.91300448
STAR 2.7.10a default,malaria T1,96.71029999,39.20836977,78.22604335,83.11958989
HISAT2 2.2.1 default,malaria T1,96.08965817,61.93450292,75.5925253,75.99649212
Subjunc 2.0.1 default,malaria T1,95.04796252,2.038441374,90.97055677,91.3700486
DeepSAP MS150,malaria T2,99.3270546,98.87109994,86.61683717,87.19949213
DRAGEN 4.0.3 default,malaria T2,95.22692615,91.59788646,78.38901517,79.69402857
novoSplice 0.8.4 default,malaria T2,96.29935573,96.14787155,85.88067928,86.05012826
STAR 2.7.10a default,malaria T2,94.36504675,9.168813559,71.06498854,77.22703222
HISAT2 2.2.1 default,malaria T2,89.46869489,43.92416776,55.75427986,55.85849923
Subjunc 2.0.1 default,malaria T2,88.89855183,1.211855986,85.7235295,87.01014625
DeepSAP MS150,malaria T3,95.27907829,92.72819455,67.45409313,66.59067358
DRAGEN 4.0.3 default,malaria T3,88.48124923,51.75899735,54.8445601,53.65829512
novoSplice 0.8.4 default,malaria T3,87.53039096,87.26810227,60.32991095,58.63332832
STAR 2.7.10a default,malaria T3,62.83913901,0.378598874,32.93877669,34.41087865
HISAT2 2.2.1 default,malaria T3,10.81979361,7.781242404,1.626128947,1.567156609
Subjunc 2.0.1 default,malaria T3,33.31095231,0.139828433,24.85320963,22.84492056
