Study	RUN_ID	Run	RunStudy	RunSpecies	Rate	Dataset	Aligner	Species	Replicate	Version	Description	CPU	RAM	Time	IO_out	IO_in	COMMAND
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t1r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T1	human T1 R2	DRAGEN	human	2	4.0.3	default	677	43.21323013	6.155166667	2.093414307	2.64680481	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t1r2 --output-format BAM -1 baruzzo_human_t1r2.forward.trimmed.fastq -2 baruzzo_human_t1r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t1r2 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t1r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T1	human T1 R3	DRAGEN	human	3	4.0.3	default	701	43.17281342	5.902833333	2.094558716	5.015029907	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t1r3 --output-format BAM -1 baruzzo_human_t1r3.forward.trimmed.fastq -2 baruzzo_human_t1r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t1r3 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t2r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T2	human T2 R2	DRAGEN	human	2	4.0.3	default	669	42.88814163	6.220833333	2.819534302	5.053977966	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t2r2 --output-format BAM -1 baruzzo_human_t2r2.forward.trimmed.fastq -2 baruzzo_human_t2r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t2r2 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t2r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T2	human T2 R3	DRAGEN	human	3	4.0.3	default	712	42.90647888	5.7855	2.821418762	4.928619385	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t2r3 --output-format BAM -1 baruzzo_human_t2r3.forward.trimmed.fastq -2 baruzzo_human_t2r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t2r3 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t3r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T3	human T3 R2	DRAGEN	human	2	4.0.3	default	697	38.73303986	6.02	8.880455017	5.091705322	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t3r2 --output-format BAM -1 baruzzo_human_t3r2.forward.trimmed.fastq -2 baruzzo_human_t3r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t3r2 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_human_t3r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default human	T3	human T3 R3	DRAGEN	human	3	4.0.3	default	703	38.73497009	6.001666667	8.880104065	2.535453796	dragen -r dragen_4.0.3_GRCH37_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_human_t3r3 --output-format BAM -1 baruzzo_human_t3r3.forward.trimmed.fastq -2 baruzzo_human_t3r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_human_t3r3 --annotation-file simulator_config_geneinfo_hg19_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t1r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T1	malaria T1 R2	DRAGEN	malaria	2	4.0.3	default	442	7.640522003	0.659833333	1.437660217	8.140808105	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t1r2 --output-format BAM -1 baruzzo_malaria_t1r2.forward.trimmed.fastq -2 baruzzo_malaria_t1r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t1r2 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t1r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T1	malaria T1 R3	DRAGEN	malaria	3	4.0.3	default	455	7.643436432	0.627	1.444244385	8.140808105	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t1r3 --output-format BAM -1 baruzzo_malaria_t1r3.forward.trimmed.fastq -2 baruzzo_malaria_t1r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t1r3 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t2r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T2	malaria T2 R2	DRAGEN	malaria	2	4.0.3	default	465	7.330753326	0.677	2.724563599	6.995384216	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t2r2 --output-format BAM -1 baruzzo_malaria_t2r2.forward.trimmed.fastq -2 baruzzo_malaria_t2r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t2r2 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t2r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T2	malaria T2 R3	DRAGEN	malaria	3	4.0.3	default	343	7.31703949	0.908	2.719741821	0.117095947	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t2r3 --output-format BAM -1 baruzzo_malaria_t2r3.forward.trimmed.fastq -2 baruzzo_malaria_t2r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t2r3 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t3r2	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T3	malaria T3 R2	DRAGEN	malaria	2	4.0.3	default	442	7.456016541	0.910333333	8.903663635	6.152641296	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t3r2 --output-format BAM -1 baruzzo_malaria_t3r2.forward.trimmed.fastq -2 baruzzo_malaria_t3r2.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t3r2 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
Baruzzo	DRAGEN 4.0.3 default baruzzo_malaria_t3r3	DRAGEN 4.0.3 default	DRAGEN 4.0.3 default Baruzzo	DRAGEN 4.0.3 default malaria	T3	malaria T3 R3	DRAGEN	malaria	3	4.0.3	default	417	7.465423584	0.977166667	8.897094727	0.000106812	dragen -r dragen_4.0.3_PFAL_baruzzo_default.idx --output-directory ./ --output-file-prefix DRAGEN__4.0.3__default__baruzzo_malaria_t3r3 --output-format BAM -1 baruzzo_malaria_t3r3.forward.trimmed.fastq -2 baruzzo_malaria_t3r3.reverse.trimmed.fastq --enable-rna true --RGID baruzzo__default --RGSM baruzzo_malaria_t3r3 --annotation-file simulator_config_geneinfo_pfal_GTF --enable-rna-gene-fusion true --num-threads 16
