AcceptorLengthBin,AcceptorScore
"(1.0, 1.099]",
"(1.099, 1.207]",
"(1.207, 1.326]",
"(1.326, 1.456]",
"(1.456, 1.6]",
"(1.6, 1.758]",
"(1.758, 1.931]",
"(1.931, 2.121]",0.9994801878929138
"(2.121, 2.33]",
"(2.33, 2.56]",
"(2.56, 2.812]",
"(2.812, 3.089]",0.9876828491687775
"(3.089, 3.394]",
"(3.394, 3.728]",
"(3.728, 4.096]",0.5771883428096771
"(4.096, 4.499]",
"(4.499, 4.943]",
"(4.943, 5.43]",0.9870380163192749
"(5.43, 5.965]",
"(5.965, 6.553]",0.962468221783638
"(6.553, 7.199]",0.5871483710361645
"(7.199, 7.908]",
"(7.908, 8.688]",0.7124994297822317
"(8.688, 9.544]",0.9904195864995321
"(9.544, 10.485]",0.3338307179316568
"(10.485, 11.518]",0.9640109658241272
"(11.518, 12.653]",0.9864752143621445
"(12.653, 13.9]",0.9988693197568258
"(13.9, 15.27]",0.9940582275390625
"(15.27, 16.775]",0.9795158207416534
"(16.775, 18.428]",0.8333369289919372
"(18.428, 20.245]",0.8350762178500494
"(20.245, 22.24]",0.8171301328217272
"(22.24, 24.432]",0.8905642972368857
"(24.432, 26.84]",0.9570234330494714
"(26.84, 29.485]",0.912012189950632
"(29.485, 32.391]",0.923975523093796
"(32.391, 35.583]",0.9596486823403672
"(35.583, 39.09]",0.9372190401581975
"(39.09, 42.942]",0.9651291942274248
"(42.942, 47.175]",0.9529058541339749
"(47.175, 51.824]",0.9485930928956842
"(51.824, 56.931]",0.972182677869512
"(56.931, 62.542]",0.975118833420303
"(62.542, 68.706]",0.9776595589671911
"(68.706, 75.478]",0.9822203650172797
"(75.478, 82.917]",0.9921720024690466
"(82.917, 91.088]",0.9789850818908945
"(91.088, 100.066]",0.9853197013947174
"(100.066, 109.928]",0.9789733240678057
"(109.928, 120.762]",0.9736204779713516
"(120.762, 132.664]",0.9738419571990511
"(132.664, 145.738]",0.9732769746697376
"(145.738, 160.102]",0.9918834903903747
"(160.102, 175.881]",0.9759054896192104
"(175.881, 193.215]",0.9640543051324646
"(193.215, 212.257]",0.9574623395642397
"(212.257, 233.176]",0.978793128278309
"(233.176, 256.157]",0.9368975332809769
"(256.157, 281.403]",0.9282440567238796
"(281.403, 309.137]",0.9031280150837472
"(309.137, 339.604]",0.86303720059472
"(339.604, 373.074]",0.9376202126464817
"(373.074, 409.843]",0.9273755779304879
"(409.843, 450.235]",0.9407917195633271
"(450.235, 494.609]",0.8774980241013974
"(494.609, 543.355]",0.943010422893017
"(543.355, 596.906]",0.9153124485492299
"(596.906, 655.735]",0.9108007996141632
"(655.735, 720.361]",0.9498230025012702
"(720.361, 791.357]",0.9166196999409216
"(791.357, 869.35]",0.9563500599504229
"(869.35, 955.03]",0.9718695552615753
"(955.03, 1049.153]",0.9754538829324702
"(1049.153, 1152.554]",0.9801896523473607
"(1152.554, 1266.145]",0.9993656083594921
"(1266.145, 1390.93]",0.987289357405843
"(1390.93, 1528.015]",0.9561576485550697
"(1528.015, 1678.61]",0.9597368941855772
"(1678.61, 1844.046]",0.9989364941914877
"(1844.046, 2025.788]",0.9971727331479391
"(2025.788, 2225.441]",0.9692452872016778
"(2225.441, 2444.772]",0.9751727164668196
"(2444.772, 2685.718]",0.9986483109624762
"(2685.718, 2950.412]",0.911755034028936
"(2950.412, 3241.192]",0.9994873890170345
"(3241.192, 3560.63]",0.999343768314079
"(3560.63, 3911.552]",0.9980252252684699
"(3911.552, 4297.058]",0.9993637158320501
"(4297.058, 4720.558]",0.9992509458376013
"(4720.558, 5185.797]",0.998803981145223
"(5185.797, 5696.888]",0.9995171015079205
"(5696.888, 6258.349]",0.9885964671770732
"(6258.349, 6875.146]",0.9088842674920504
"(6875.146, 7552.732]",0.9341078476359447
"(7552.732, 8297.098]",0.668080658496668
"(8297.098, 9114.826]",0.999517967303594
"(9114.826, 10013.146]",0.9995263814926147
"(10013.146, 11000.0]",0.7790448985993862
