AcceptorLengthBin,AcceptorScore
"(1.0, 1.099]",
"(1.099, 1.207]",
"(1.207, 1.326]",
"(1.326, 1.456]",
"(1.456, 1.6]",
"(1.6, 1.758]",
"(1.758, 1.931]",
"(1.931, 2.121]",0.9990993738174438
"(2.121, 2.33]",
"(2.33, 2.56]",
"(2.56, 2.812]",
"(2.812, 3.089]",0.5006278017535806
"(3.089, 3.394]",
"(3.394, 3.728]",
"(3.728, 4.096]",0.6666925646907961
"(4.096, 4.499]",
"(4.499, 4.943]",
"(4.943, 5.43]",0.9996442496776581
"(5.43, 5.965]",
"(5.965, 6.553]",0.9991584122180939
"(6.553, 7.199]",0.7498789353012398
"(7.199, 7.908]",
"(7.908, 8.688]",0.6667959851329215
"(8.688, 9.544]",0.9999098380406698
"(9.544, 10.485]",0.39175739932397846
"(10.485, 11.518]",0.9996453046798706
"(11.518, 12.653]",0.5049782582791522
"(12.653, 13.9]",0.9998481074968973
"(13.9, 15.27]",0.8001854041358456
"(15.27, 16.775]",0.9557477682828903
"(16.775, 18.428]",0.8259207323511267
"(18.428, 20.245]",0.8610122864018195
"(20.245, 22.24]",0.8352207951889299
"(22.24, 24.432]",0.8267867192904198
"(24.432, 26.84]",0.906396572828271
"(26.84, 29.485]",0.9455078093848462
"(29.485, 32.391]",0.8711131648420373
"(32.391, 35.583]",0.9309092719909816
"(35.583, 39.09]",0.934742817035044
"(39.09, 42.942]",0.945876990681984
"(42.942, 47.175]",0.957747281101834
"(47.175, 51.824]",0.9218871319400145
"(51.824, 56.931]",0.9753058460104059
"(56.931, 62.542]",0.9791205704753684
"(62.542, 68.706]",0.9778506281939587
"(68.706, 75.478]",0.9850196675764017
"(75.478, 82.917]",0.9926686224157628
"(82.917, 91.088]",0.9861483775665765
"(91.088, 100.066]",0.9682478182998908
"(100.066, 109.928]",0.9792878743732296
"(109.928, 120.762]",0.9699946473141916
"(120.762, 132.664]",0.9763010967335402
"(132.664, 145.738]",0.9727322520538747
"(145.738, 160.102]",0.9894495178742143
"(160.102, 175.881]",0.9795680168417091
"(175.881, 193.215]",0.9699231631120937
"(193.215, 212.257]",0.955202905347025
"(212.257, 233.176]",0.9783291838310153
"(233.176, 256.157]",0.9336841549176572
"(256.157, 281.403]",0.9292480087738669
"(281.403, 309.137]",0.9031507220713519
"(309.137, 339.604]",0.8724930059735712
"(339.604, 373.074]",0.9284894752051273
"(373.074, 409.843]",0.9304831523802229
"(409.843, 450.235]",0.9417796301876119
"(450.235, 494.609]",0.8779632647002007
"(494.609, 543.355]",0.9449554930107986
"(543.355, 596.906]",0.9211446284602971
"(596.906, 655.735]",0.9116849573469616
"(655.735, 720.361]",0.9505419715431255
"(720.361, 791.357]",0.9246160968363138
"(791.357, 869.35]",0.9657660870450381
"(869.35, 955.03]",0.9599258329430346
"(955.03, 1049.153]",0.9764695068587343
"(1049.153, 1152.554]",0.9808644834362591
"(1152.554, 1266.145]",0.9998992147833802
"(1266.145, 1390.93]",0.9877215081156997
"(1390.93, 1528.015]",0.9570638140153148
"(1528.015, 1678.61]",0.9582491328789425
"(1678.61, 1844.046]",0.999640683333079
"(1844.046, 2025.788]",0.9999124534202345
"(2025.788, 2225.441]",0.969620704964627
"(2225.441, 2444.772]",0.9998755192055422
"(2444.772, 2685.718]",0.9998251184036857
"(2685.718, 2950.412]",0.9116950933605361
"(2950.412, 3241.192]",0.9999192357063293
"(3241.192, 3560.63]",0.999920924504598
"(3560.63, 3911.552]",0.9999156693617502
"(3911.552, 4297.058]",0.9999119272598853
"(4297.058, 4720.558]",0.9999162036439647
"(4720.558, 5185.797]",0.9999232053756714
"(5185.797, 5696.888]",0.9999229449492234
"(5696.888, 6258.349]",0.9999178171157836
"(6258.349, 6875.146]",0.9090277185724435
"(6875.146, 7552.732]",0.9332608282566071
"(7552.732, 8297.098]",0.6666560112741232
"(8297.098, 9114.826]",0.9999141891797384
"(9114.826, 10013.146]",0.9999213814735413
"(10013.146, 11000.0]",0.8062592543661594
