DonorLengthBin,DonorScore
"(1.0, 1.099]",
"(1.099, 1.207]",
"(1.207, 1.326]",
"(1.326, 1.456]",
"(1.456, 1.6]",
"(1.6, 1.758]",
"(1.758, 1.931]",
"(1.931, 2.121]",0.9456024408340454
"(2.121, 2.33]",
"(2.33, 2.56]",
"(2.56, 2.812]",
"(2.812, 3.089]",0.8930347588247969
"(3.089, 3.394]",
"(3.394, 3.728]",
"(3.728, 4.096]",0.9573924124240876
"(4.096, 4.499]",
"(4.499, 4.943]",
"(4.943, 5.43]",0.8393706615482058
"(5.43, 5.965]",
"(5.965, 6.553]",0.9923758804798126
"(6.553, 7.199]",0.7648196682450361
"(7.199, 7.908]",
"(7.908, 8.688]",0.9970848560333252
"(8.688, 9.544]",0.9792358676592509
"(9.544, 10.485]",0.9687452647421095
"(10.485, 11.518]",0.5372475633397699
"(11.518, 12.653]",0.97915175982884
"(12.653, 13.9]",0.8171214569980899
"(13.9, 15.27]",0.9789014011621475
"(15.27, 16.775]",0.9145748926183352
"(16.775, 18.428]",0.785360471304992
"(18.428, 20.245]",0.8894150423652986
"(20.245, 22.24]",0.7506523334498828
"(22.24, 24.432]",0.8416051559782188
"(24.432, 26.84]",0.8757035595743219
"(26.84, 29.485]",0.9208668538553337
"(29.485, 32.391]",0.8726696857033772
"(32.391, 35.583]",0.9791808885179067
"(35.583, 39.09]",0.9385451539097918
"(39.09, 42.942]",0.9497063245194463
"(42.942, 47.175]",0.933857360890605
"(47.175, 51.824]",0.9395601779084048
"(51.824, 56.931]",0.9756417693392171
"(56.931, 62.542]",0.9670443056272964
"(62.542, 68.706]",0.9620617110049352
"(68.706, 75.478]",0.973256046407318
"(75.478, 82.917]",0.9784435493648294
"(82.917, 91.088]",0.9773643915595047
"(91.088, 100.066]",0.9797331314918961
"(100.066, 109.928]",0.9736706991427282
"(109.928, 120.762]",0.9634770359853136
"(120.762, 132.664]",0.9650234900447382
"(132.664, 145.738]",0.965379789417311
"(145.738, 160.102]",0.9713557408697141
"(160.102, 175.881]",0.9653655127981341
"(175.881, 193.215]",0.9553164680233285
"(193.215, 212.257]",0.9443989614282535
"(212.257, 233.176]",0.9593236454969553
"(233.176, 256.157]",0.916674608709305
"(256.157, 281.403]",0.9456831258253909
"(281.403, 309.137]",0.8941501552208936
"(309.137, 339.604]",0.8924725310066791
"(339.604, 373.074]",0.9339284512014315
"(373.074, 409.843]",0.8996401371006223
"(409.843, 450.235]",0.9287332916182691
"(450.235, 494.609]",0.8514630236488301
"(494.609, 543.355]",0.9686712561427461
"(543.355, 596.906]",0.8753391817021607
"(596.906, 655.735]",0.923794120781867
"(655.735, 720.361]",0.9615728762846966
"(720.361, 791.357]",0.9080495886772758
"(791.357, 869.35]",0.8690323018348746
"(869.35, 955.03]",0.93678636952559
"(955.03, 1049.153]",0.8892369819953642
"(1049.153, 1152.554]",0.9535964518287858
"(1152.554, 1266.145]",0.9979188958803813
"(1266.145, 1390.93]",0.9756467436239415
"(1390.93, 1528.015]",0.9705727466304476
"(1528.015, 1678.61]",0.9981856611039903
"(1678.61, 1844.046]",0.9678275555925211
"(1844.046, 2025.788]",0.9947527647018433
"(2025.788, 2225.441]",0.9965985625982284
"(2225.441, 2444.772]",0.9987013060995873
"(2444.772, 2685.718]",0.9737836740434517
"(2685.718, 2950.412]",0.9867806008883885
"(2950.412, 3241.192]",0.9705500907198127
"(3241.192, 3560.63]",0.9908753165176937
"(3560.63, 3911.552]",0.9974195523695513
"(3911.552, 4297.058]",0.9985341681374444
"(4297.058, 4720.558]",0.997295743227005
"(4720.558, 5185.797]",0.9985483462611834
"(5185.797, 5696.888]",0.9990451669692993
"(5696.888, 6258.349]",0.9949934548801846
"(6258.349, 6875.146]",0.9484315554700082
"(6875.146, 7552.732]",0.9597724237862755
"(7552.732, 8297.098]",0.9919964571793874
"(8297.098, 9114.826]",0.9992261350154876
"(9114.826, 10013.146]",0.9988865719901191
"(10013.146, 11000.0]",0.9992669224739075
