DonorLengthBin,DonorScore
"(1.0, 1.099]",
"(1.099, 1.207]",
"(1.207, 1.326]",
"(1.326, 1.456]",
"(1.456, 1.6]",
"(1.6, 1.758]",
"(1.758, 1.931]",
"(1.931, 2.121]",0.2010513402405195
"(2.121, 2.33]",
"(2.33, 2.56]",
"(2.56, 2.812]",
"(2.812, 3.089]",0.5348160826765707
"(3.089, 3.394]",
"(3.394, 3.728]",
"(3.728, 4.096]",0.3011021309750504
"(4.096, 4.499]",
"(4.499, 4.943]",
"(4.943, 5.43]",0.5260016236175683
"(5.43, 5.965]",
"(5.965, 6.553]",0.5685589093094071
"(6.553, 7.199]",0.12191855977944215
"(7.199, 7.908]",
"(7.908, 8.688]",0.5068970611318946
"(8.688, 9.544]",0.6436563430361275
"(9.544, 10.485]",0.7121539546383752
"(10.485, 11.518]",0.00021714018512284384
"(11.518, 12.653]",0.7508322555305702
"(12.653, 13.9]",0.28946981977848435
"(13.9, 15.27]",0.6274468776009599
"(15.27, 16.775]",0.7566829489973875
"(16.775, 18.428]",0.41590001300969365
"(18.428, 20.245]",0.6138590780375286
"(20.245, 22.24]",0.4121820838443541
"(22.24, 24.432]",0.5310411173075928
"(24.432, 26.84]",0.516465659500318
"(26.84, 29.485]",0.6812654855726409
"(29.485, 32.391]",0.6654345268464412
"(32.391, 35.583]",0.6724637358642404
"(35.583, 39.09]",0.7509309920582414
"(39.09, 42.942]",0.807662091095853
"(42.942, 47.175]",0.7943220537758212
"(47.175, 51.824]",0.8360305243539482
"(51.824, 56.931]",0.9072748738277632
"(56.931, 62.542]",0.9070106202487016
"(62.542, 68.706]",0.9281594284145658
"(68.706, 75.478]",0.7873069645432123
"(75.478, 82.917]",0.9617695425762706
"(82.917, 91.088]",0.9361737964599921
"(91.088, 100.066]",0.9489799158197599
"(100.066, 109.928]",0.9602986177092006
"(109.928, 120.762]",0.9401321710638919
"(120.762, 132.664]",0.9363106486016287
"(132.664, 145.738]",0.9346477277871279
"(145.738, 160.102]",0.9574613919125775
"(160.102, 175.881]",0.9255130399867182
"(175.881, 193.215]",0.9237338723496229
"(193.215, 212.257]",0.9201862119779911
"(212.257, 233.176]",0.9101290676270847
"(233.176, 256.157]",0.8936690895290913
"(256.157, 281.403]",0.9267944362535283
"(281.403, 309.137]",0.8961737383654971
"(309.137, 339.604]",0.8909860528446433
"(339.604, 373.074]",0.8948508333010852
"(373.074, 409.843]",0.881614508303286
"(409.843, 450.235]",0.9097267982764732
"(450.235, 494.609]",0.7967081878006205
"(494.609, 543.355]",0.9670495163513944
"(543.355, 596.906]",0.8712189302384628
"(596.906, 655.735]",0.9395685509172416
"(655.735, 720.361]",0.9427363464636545
"(720.361, 791.357]",0.8987087044515647
"(791.357, 869.35]",0.8705631788845142
"(869.35, 955.03]",0.9405154194568703
"(955.03, 1049.153]",0.8213835383927638
"(1049.153, 1152.554]",0.940588290580005
"(1152.554, 1266.145]",0.9979625900586446
"(1266.145, 1390.93]",0.9799966975514703
"(1390.93, 1528.015]",0.9395288584077611
"(1528.015, 1678.61]",0.9867290506760279
"(1678.61, 1844.046]",0.9676639962212903
"(1844.046, 2025.788]",0.9699363364548738
"(2025.788, 2225.441]",0.974816389917396
"(2225.441, 2444.772]",0.9996537363275568
"(2444.772, 2685.718]",0.9492209365765353
"(2685.718, 2950.412]",0.9683292063751391
"(2950.412, 3241.192]",0.9629060260460912
"(3241.192, 3560.63]",0.9680933225012961
"(3560.63, 3911.552]",0.9997268969362433
"(3911.552, 4297.058]",0.9978717618518406
"(4297.058, 4720.558]",0.9996679544448852
"(4720.558, 5185.797]",0.9997437944014868
"(5185.797, 5696.888]",0.9941211891174316
"(5696.888, 6258.349]",0.983138155054163
"(6258.349, 6875.146]",0.9043684079733794
"(6875.146, 7552.732]",0.9465392762247253
"(7552.732, 8297.098]",0.9996635516484579
"(8297.098, 9114.826]",0.999527782201767
"(9114.826, 10013.146]",0.999353289604187
"(10013.146, 11000.0]",0.9997292260328928
