IntronLengthBin,AcceptorScore
"(1.0, 1.124]",
"(1.124, 1.264]",
"(1.264, 1.422]",
"(1.422, 1.598]",
"(1.598, 1.797]",
"(1.797, 2.021]",0.03253959896337276
"(2.021, 2.272]",
"(2.272, 2.555]",
"(2.555, 2.873]",
"(2.873, 3.23]",
"(3.23, 3.632]",
"(3.632, 4.084]",0.0011316422605887055
"(4.084, 4.592]",
"(4.592, 5.163]",
"(5.163, 5.806]",
"(5.806, 6.528]",
"(6.528, 7.34]",
"(7.34, 8.253]",
"(8.253, 9.28]",
"(9.28, 10.434]",
"(10.434, 11.732]",0.0005107776378281415
"(11.732, 13.192]",
"(13.192, 14.833]",
"(14.833, 16.678]",
"(16.678, 18.753]",
"(18.753, 21.086]",
"(21.086, 23.71]",
"(23.71, 26.659]",
"(26.659, 29.976]",
"(29.976, 33.705]",
"(33.705, 37.898]",
"(37.898, 42.613]",
"(42.613, 47.914]",0.9995337724685669
"(47.914, 53.875]",
"(53.875, 60.577]",0.9768831729888916
"(60.577, 68.114]",0.9663845300674438
"(68.114, 76.587]",0.98108070647275
"(76.587, 86.115]",0.9775073132603556
"(86.115, 96.828]",0.9894371217116713
"(96.828, 108.875]",0.9911698401246651
"(108.875, 122.419]",0.990082141378303
"(122.419, 137.649]",0.9848467342013524
"(137.649, 154.773]",0.9876372586543622
"(154.773, 174.028]",0.9874046442842265
"(174.028, 195.678]",0.9867133786336578
"(195.678, 220.022]",0.9943546453920229
"(220.022, 247.394]",0.9881384704579461
"(247.394, 278.171]",0.9763087248364724
"(278.171, 312.777]",0.9971574157476425
"(312.777, 351.688]",0.9911180860362947
"(351.688, 395.44]",0.9872561426212391
"(395.44, 444.636]",0.9981436298953162
"(444.636, 499.951]",0.9977313473417952
"(499.951, 562.148]",0.9993780652681986
"(562.148, 632.082]",0.9466478145297836
"(632.082, 710.717]",0.9936773819582803
"(710.717, 799.135]",0.9983681937058767
"(799.135, 898.552]",0.9995293303539878
"(898.552, 1010.337]",0.9995301763216654
"(1010.337, 1136.029]",0.9995071400295604
"(1136.029, 1277.358]",0.9993536919355392
"(1277.358, 1436.269]",0.9959826916456223
"(1436.269, 1614.95]",
"(1614.95, 1815.859]",
"(1815.859, 2041.763]",
"(2041.763, 2295.77]",
"(2295.77, 2581.378]",0.9995007514953613
"(2581.378, 2902.517]",
"(2902.517, 3263.608]",
"(3263.608, 3669.62]",
"(3669.62, 4126.143]",
"(4126.143, 4639.46]",
"(4639.46, 5216.636]",
"(5216.636, 5865.617]",
"(5865.617, 6595.335]",
"(6595.335, 7415.835]",
"(7415.835, 8338.409]",
"(8338.409, 9375.757]",
"(9375.757, 10542.158]",
"(10542.158, 11853.666]",
"(11853.666, 13328.333]",
"(13328.333, 14986.458]",
"(14986.458, 16850.863]",
"(16850.863, 18947.212]",
"(18947.212, 21304.359]",
"(21304.359, 23954.749]",
"(23954.749, 26934.864]",
"(26934.864, 30285.723]",
"(30285.723, 34053.449]",
"(34053.449, 38289.902]",
"(38289.902, 43053.396]",
"(43053.396, 48409.498]",
"(48409.498, 54431.93]",
"(54431.93, 61203.589]",
"(61203.589, 68817.684]",
"(68817.684, 77379.017]",
"(77379.017, 87005.432]",
"(87005.432, 97829.431]",
"(97829.431, 110000.0]",
