,Biotype,JunctionScore,Count
0,Negative,0,6478
1,Negative,1,831
2,Negative,2,314
3,Negative,3,199
4,Negative,4,118
5,Negative,5,90
6,Negative,6,69
7,Negative,7,48
8,Negative,8,44
9,Negative,9,36
10,Negative,10,36
11,Negative,11,29
12,Negative,12,23
13,Negative,13,15
14,Negative,14,11
15,Negative,15,12
16,Negative,16,17
17,Negative,17,14
18,Negative,18,9
19,Negative,19,12
20,Negative,20,6
21,Negative,21,10
22,Negative,22,10
23,Negative,23,7
24,Negative,24,4
25,Negative,25,8
26,Negative,26,4
27,Negative,27,3
28,Negative,28,4
29,Negative,29,3
30,Negative,30,11
31,Negative,31,3
32,Negative,32,7
33,Negative,33,8
34,Negative,34,11
35,Negative,35,9
36,Negative,36,3
37,Negative,37,4
38,Negative,38,6
39,Negative,39,9
40,Negative,40,6
41,Negative,41,4
42,Negative,42,11
43,Negative,43,6
44,Negative,44,7
45,Negative,45,16
46,Negative,46,16
47,Negative,47,9
48,Negative,48,12
49,Negative,49,29
50,Negative,50,37
51,Negative,51,15
52,Negative,52,10
53,Negative,53,8
54,Negative,54,7
55,Negative,55,6
56,Negative,56,3
57,Negative,57,6
58,Negative,58,2
169,Negative,59,0
59,Negative,60,1
170,Negative,61,0
60,Negative,62,1
61,Negative,63,2
62,Negative,64,3
171,Negative,65,0
63,Negative,66,1
64,Negative,67,1
172,Negative,68,0
173,Negative,69,0
174,Negative,70,0
175,Negative,71,0
176,Negative,72,0
65,Negative,73,1
177,Negative,74,0
178,Negative,75,0
179,Negative,76,0
180,Negative,77,0
181,Negative,78,0
182,Negative,79,0
66,Negative,80,2
183,Negative,81,0
67,Negative,82,1
68,Negative,83,1
184,Negative,84,0
185,Negative,85,0
186,Negative,86,0
187,Negative,87,0
188,Negative,88,0
189,Negative,89,0
190,Negative,90,0
191,Negative,91,0
192,Negative,92,0
69,Negative,93,1
70,Negative,94,1
71,Negative,95,1
193,Negative,96,0
72,Negative,97,1
194,Negative,98,0
73,Negative,99,1
74,Negative,100,1
295,protein_coding,0,0
76,protein_coding,1,2
77,protein_coding,2,1
78,protein_coding,3,1
296,protein_coding,4,0
297,protein_coding,5,0
79,protein_coding,6,1
298,protein_coding,7,0
299,protein_coding,8,0
300,protein_coding,9,0
301,protein_coding,10,0
302,protein_coding,11,0
303,protein_coding,12,0
304,protein_coding,13,0
305,protein_coding,14,0
306,protein_coding,15,0
307,protein_coding,16,0
308,protein_coding,17,0
309,protein_coding,18,0
310,protein_coding,19,0
80,protein_coding,20,1
311,protein_coding,21,0
312,protein_coding,22,0
81,protein_coding,23,1
313,protein_coding,24,0
314,protein_coding,25,0
82,protein_coding,26,1
83,protein_coding,27,1
315,protein_coding,28,0
316,protein_coding,29,0
317,protein_coding,30,0
318,protein_coding,31,0
319,protein_coding,32,0
320,protein_coding,33,0
321,protein_coding,34,0
322,protein_coding,35,0
84,protein_coding,36,1
85,protein_coding,37,1
323,protein_coding,38,0
324,protein_coding,39,0
325,protein_coding,40,0
326,protein_coding,41,0
86,protein_coding,42,2
327,protein_coding,43,0
328,protein_coding,44,0
329,protein_coding,45,0
330,protein_coding,46,0
87,protein_coding,47,1
88,protein_coding,48,2
89,protein_coding,49,1
90,protein_coding,50,6
91,protein_coding,51,16
92,protein_coding,52,11
93,protein_coding,53,10
94,protein_coding,54,6
95,protein_coding,55,15
96,protein_coding,56,10
97,protein_coding,57,9
98,protein_coding,58,8
99,protein_coding,59,4
100,protein_coding,60,10
101,protein_coding,61,7
102,protein_coding,62,4
103,protein_coding,63,7
104,protein_coding,64,2
105,protein_coding,65,4
106,protein_coding,66,3
107,protein_coding,67,2
108,protein_coding,68,1
109,protein_coding,69,4
110,protein_coding,70,5
111,protein_coding,71,3
112,protein_coding,72,2
113,protein_coding,73,2
331,protein_coding,74,0
114,protein_coding,75,3
115,protein_coding,76,5
332,protein_coding,77,0
116,protein_coding,78,1
117,protein_coding,79,1
118,protein_coding,80,1
119,protein_coding,81,5
120,protein_coding,82,4
121,protein_coding,83,2
122,protein_coding,84,4
123,protein_coding,85,8
124,protein_coding,86,10
125,protein_coding,87,4
126,protein_coding,88,12
127,protein_coding,89,12
128,protein_coding,90,10
129,protein_coding,91,15
130,protein_coding,92,18
131,protein_coding,93,38
132,protein_coding,94,46
133,protein_coding,95,54
134,protein_coding,96,78
135,protein_coding,97,134
136,protein_coding,98,206
137,protein_coding,99,566
138,protein_coding,100,7048
139,pseudogene,0,170
140,pseudogene,1,23
141,pseudogene,2,7
142,pseudogene,3,3
143,pseudogene,4,3
144,pseudogene,5,3
145,pseudogene,6,2
146,pseudogene,7,2
333,pseudogene,8,0
334,pseudogene,9,0
335,pseudogene,10,0
147,pseudogene,11,1
336,pseudogene,12,0
337,pseudogene,13,0
338,pseudogene,14,0
148,pseudogene,15,1
149,pseudogene,16,1
339,pseudogene,17,0
340,pseudogene,18,0
341,pseudogene,19,0
342,pseudogene,20,0
343,pseudogene,21,0
344,pseudogene,22,0
345,pseudogene,23,0
346,pseudogene,24,0
347,pseudogene,25,0
348,pseudogene,26,0
349,pseudogene,27,0
350,pseudogene,28,0
351,pseudogene,29,0
352,pseudogene,30,0
353,pseudogene,31,0
354,pseudogene,32,0
355,pseudogene,33,0
356,pseudogene,34,0
357,pseudogene,35,0
358,pseudogene,36,0
359,pseudogene,37,0
150,pseudogene,38,1
360,pseudogene,39,0
151,pseudogene,40,1
361,pseudogene,41,0
362,pseudogene,42,0
363,pseudogene,43,0
364,pseudogene,44,0
365,pseudogene,45,0
366,pseudogene,46,0
152,pseudogene,47,1
153,pseudogene,48,1
367,pseudogene,49,0
154,pseudogene,50,3
155,pseudogene,51,1
156,pseudogene,52,1
157,pseudogene,53,5
158,pseudogene,54,1
159,pseudogene,55,1
368,pseudogene,56,0
369,pseudogene,57,0
370,pseudogene,58,0
371,pseudogene,59,0
372,pseudogene,60,0
373,pseudogene,61,0
374,pseudogene,62,0
375,pseudogene,63,0
376,pseudogene,64,0
377,pseudogene,65,0
378,pseudogene,66,0
379,pseudogene,67,0
380,pseudogene,68,0
381,pseudogene,69,0
382,pseudogene,70,0
160,pseudogene,71,1
383,pseudogene,72,0
384,pseudogene,73,0
385,pseudogene,74,0
386,pseudogene,75,0
387,pseudogene,76,0
388,pseudogene,77,0
389,pseudogene,78,0
390,pseudogene,79,0
391,pseudogene,80,0
392,pseudogene,81,0
393,pseudogene,82,0
394,pseudogene,83,0
395,pseudogene,84,0
396,pseudogene,85,0
397,pseudogene,86,0
398,pseudogene,87,0
399,pseudogene,88,0
400,pseudogene,89,0
401,pseudogene,90,0
161,pseudogene,91,1
162,pseudogene,92,1
163,pseudogene,93,1
402,pseudogene,94,0
403,pseudogene,95,0
164,pseudogene,96,2
165,pseudogene,97,1
166,pseudogene,98,1
167,pseudogene,99,10
168,pseudogene,100,58
195,nontranslating_CDS,0,0
196,nontranslating_CDS,1,0
197,nontranslating_CDS,2,0
198,nontranslating_CDS,3,0
199,nontranslating_CDS,4,0
200,nontranslating_CDS,5,0
201,nontranslating_CDS,6,0
