,Biotype,JunctionScore,Count
0,Negative,0,8509
1,Negative,1,32
2,Negative,2,12
3,Negative,3,6
4,Negative,4,7
5,Negative,5,5
6,Negative,6,5
7,Negative,7,3
8,Negative,8,4
9,Negative,9,2
10,Negative,10,5
11,Negative,11,2
12,Negative,12,1
13,Negative,13,2
14,Negative,14,1
150,Negative,15,0
15,Negative,16,1
16,Negative,17,1
17,Negative,18,2
18,Negative,19,2
19,Negative,20,1
20,Negative,21,1
21,Negative,22,1
22,Negative,23,3
151,Negative,24,0
23,Negative,25,1
24,Negative,26,1
25,Negative,27,1
152,Negative,28,0
26,Negative,29,2
27,Negative,30,3
28,Negative,31,2
29,Negative,32,1
30,Negative,33,1
153,Negative,34,0
31,Negative,35,2
154,Negative,36,0
32,Negative,37,1
33,Negative,38,2
34,Negative,39,1
35,Negative,40,3
155,Negative,41,0
36,Negative,42,1
37,Negative,43,1
38,Negative,44,1
39,Negative,45,3
40,Negative,46,2
41,Negative,47,7
42,Negative,48,3
43,Negative,49,19
44,Negative,50,93
45,Negative,51,1
156,Negative,52,0
157,Negative,53,0
158,Negative,54,0
159,Negative,55,0
160,Negative,56,0
161,Negative,57,0
162,Negative,58,0
163,Negative,59,0
46,Negative,60,2
164,Negative,61,0
165,Negative,62,0
166,Negative,63,0
167,Negative,64,0
168,Negative,65,0
169,Negative,66,0
47,Negative,67,1
170,Negative,68,0
171,Negative,69,0
172,Negative,70,0
173,Negative,71,0
174,Negative,72,0
175,Negative,73,0
176,Negative,74,0
177,Negative,75,0
178,Negative,76,0
179,Negative,77,0
180,Negative,78,0
181,Negative,79,0
182,Negative,80,0
183,Negative,81,0
184,Negative,82,0
185,Negative,83,0
186,Negative,84,0
187,Negative,85,0
188,Negative,86,0
189,Negative,87,0
190,Negative,88,0
191,Negative,89,0
48,Negative,90,1
192,Negative,91,0
193,Negative,92,0
194,Negative,93,0
195,Negative,94,0
196,Negative,95,0
197,Negative,96,0
198,Negative,97,0
199,Negative,98,0
49,Negative,99,1
200,Negative,100,0
53,protein_coding,0,8
299,protein_coding,1,0
300,protein_coding,2,0
301,protein_coding,3,0
302,protein_coding,4,0
54,protein_coding,5,2
55,protein_coding,6,1
303,protein_coding,7,0
304,protein_coding,8,0
305,protein_coding,9,0
306,protein_coding,10,0
307,protein_coding,11,0
308,protein_coding,12,0
309,protein_coding,13,0
310,protein_coding,14,0
311,protein_coding,15,0
312,protein_coding,16,0
313,protein_coding,17,0
314,protein_coding,18,0
315,protein_coding,19,0
56,protein_coding,20,1
316,protein_coding,21,0
317,protein_coding,22,0
318,protein_coding,23,0
57,protein_coding,24,1
319,protein_coding,25,0
58,protein_coding,26,1
59,protein_coding,27,1
320,protein_coding,28,0
321,protein_coding,29,0
60,protein_coding,30,1
322,protein_coding,31,0
323,protein_coding,32,0
61,protein_coding,33,1
62,protein_coding,34,1
63,protein_coding,35,1
324,protein_coding,36,0
325,protein_coding,37,0
326,protein_coding,38,0
64,protein_coding,39,2
327,protein_coding,40,0
65,protein_coding,41,1
328,protein_coding,42,0
329,protein_coding,43,0
330,protein_coding,44,0
66,protein_coding,45,1
67,protein_coding,46,3
68,protein_coding,47,1
69,protein_coding,48,1
70,protein_coding,49,7
71,protein_coding,50,358
72,protein_coding,51,58
73,protein_coding,52,41
74,protein_coding,53,33
75,protein_coding,54,24
76,protein_coding,55,15
77,protein_coding,56,16
78,protein_coding,57,15
79,protein_coding,58,15
80,protein_coding,59,9
81,protein_coding,60,7
82,protein_coding,61,14
83,protein_coding,62,8
84,protein_coding,63,8
85,protein_coding,64,14
86,protein_coding,65,11
87,protein_coding,66,11
88,protein_coding,67,8
89,protein_coding,68,9
90,protein_coding,69,8
91,protein_coding,70,3
92,protein_coding,71,3
93,protein_coding,72,7
94,protein_coding,73,7
95,protein_coding,74,5
96,protein_coding,75,7
97,protein_coding,76,5
98,protein_coding,77,5
99,protein_coding,78,10
100,protein_coding,79,4
101,protein_coding,80,6
102,protein_coding,81,5
103,protein_coding,82,11
104,protein_coding,83,8
105,protein_coding,84,9
106,protein_coding,85,7
107,protein_coding,86,6
108,protein_coding,87,6
109,protein_coding,88,6
110,protein_coding,89,8
111,protein_coding,90,8
112,protein_coding,91,7
113,protein_coding,92,10
114,protein_coding,93,10
115,protein_coding,94,12
116,protein_coding,95,12
117,protein_coding,96,28
118,protein_coding,97,37
119,protein_coding,98,49
120,protein_coding,99,148
121,protein_coding,100,7287
122,pseudogene,0,207
331,pseudogene,1,0
123,pseudogene,2,1
332,pseudogene,3,0
124,pseudogene,4,1
333,pseudogene,5,0
334,pseudogene,6,0
125,pseudogene,7,1
126,pseudogene,8,1
335,pseudogene,9,0
336,pseudogene,10,0
337,pseudogene,11,0
127,pseudogene,12,1
338,pseudogene,13,0
339,pseudogene,14,0
128,pseudogene,15,1
340,pseudogene,16,0
341,pseudogene,17,0
342,pseudogene,18,0
343,pseudogene,19,0
344,pseudogene,20,0
345,pseudogene,21,0
346,pseudogene,22,0
347,pseudogene,23,0
348,pseudogene,24,0
349,pseudogene,25,0
350,pseudogene,26,0
351,pseudogene,27,0
352,pseudogene,28,0
353,pseudogene,29,0
354,pseudogene,30,0
355,pseudogene,31,0
356,pseudogene,32,0
357,pseudogene,33,0
358,pseudogene,34,0
359,pseudogene,35,0
360,pseudogene,36,0
361,pseudogene,37,0
362,pseudogene,38,0
129,pseudogene,39,1
363,pseudogene,40,0
130,pseudogene,41,1
131,pseudogene,42,1
364,pseudogene,43,0
365,pseudogene,44,0
132,pseudogene,45,1
366,pseudogene,46,0
367,pseudogene,47,0
133,pseudogene,48,1
134,pseudogene,49,1
135,pseudogene,50,23
136,pseudogene,51,4
368,pseudogene,52,0
