AcceptorLengthBin,AcceptorScore
"(20.0, 21.316]",0.8437064462894279
"(21.316, 22.719]",0.8493590824444927
"(22.719, 24.214]",0.8430613984451368
"(24.214, 25.808]",0.8602917746053693
"(25.808, 27.506]",0.865468387254283
"(27.506, 29.317]",0.8896272534037107
"(29.317, 31.246]",0.8802853742854909
"(31.246, 33.302]",0.908636874278883
"(33.302, 35.494]",0.8723379202281171
"(35.494, 37.83]",0.9070787086764814
"(37.83, 40.319]",0.9173733231925623
"(40.319, 42.973]",0.9105185422582553
"(42.973, 45.801]",0.9241079727597861
"(45.801, 48.815]",0.9107745706952195
"(48.815, 52.028]",0.9411918929272842
"(52.028, 55.452]",0.9562757623139841
"(55.452, 59.101]",0.9462729510526138
"(59.101, 62.991]",0.9502016533766903
"(62.991, 67.136]",0.9556290525360329
"(67.136, 71.555]",0.956875905700009
"(71.555, 76.264]",0.9688181959024014
"(76.264, 81.283]",0.9718192119655495
"(81.283, 86.632]",0.9696847631779587
"(86.632, 92.334]",0.9673041577775613
"(92.334, 98.41]",0.9675542556491074
"(98.41, 104.887]",0.9668573383236608
"(104.887, 111.79]",0.9668215262982464
"(111.79, 119.147]",0.9673520601727653
"(119.147, 126.988]",0.9680410314604552
"(126.988, 135.345]",0.9675857739686488
"(135.345, 144.253]",0.9613604342564317
"(144.253, 153.746]",0.9662636899571769
"(153.746, 163.864]",0.9657189151538068
"(163.864, 174.648]",0.9651053824315753
"(174.648, 186.142]",0.9635989115149751
"(186.142, 198.393]",0.9618817136864993
"(198.393, 211.449]",0.9666750147283882
"(211.449, 225.365]",0.9604789163222108
"(225.365, 240.197]",0.960747390503404
"(240.197, 256.004]",0.9615585543179234
"(256.004, 272.852]",0.9613035077493973
"(272.852, 290.809]",0.9634703861889131
"(290.809, 309.948]",0.965547290569767
"(309.948, 330.346]",0.9538221781614136
"(330.346, 352.087]",0.9582532891753948
"(352.087, 375.258]",0.9596724445447866
"(375.258, 399.954]",0.9592607012572386
"(399.954, 426.276]",0.9543974161228154
"(426.276, 454.33]",0.954220293802698
"(454.33, 484.23]",0.9612400066567002
"(484.23, 516.098]",0.9611313470147492
"(516.098, 550.063]",0.9548691610509782
"(550.063, 586.263]",0.9551545203833934
"(586.263, 624.846]",0.9564688156982889
"(624.846, 665.969]",0.9508573419289813
"(665.969, 709.797]",0.9605925102957651
"(709.797, 756.51]",0.9537443261270899
"(756.51, 806.297]",0.9622617339604654
"(806.297, 859.361]",0.959851536018438
"(859.361, 915.916]",0.9658025360974277
"(915.916, 976.194]",0.9623647700485763
"(976.194, 1040.439]",0.9613305923828627
"(1040.439, 1108.912]",0.9624025683162312
"(1108.912, 1181.891]",0.9538755675949807
"(1181.891, 1259.674]",0.959338146351987
"(1259.674, 1342.575]",0.9641003957424783
"(1342.575, 1430.932]",0.9567550956045962
"(1430.932, 1525.103]",0.9604406802552375
"(1525.103, 1625.473]",0.9726005071514391
"(1625.473, 1732.448]",0.9664292391052788
"(1732.448, 1846.463]",0.9753754032491658
"(1846.463, 1967.982]",0.960370993605328
"(1967.982, 2097.498]",0.962228197426073
"(2097.498, 2235.537]",0.9669424209422403
"(2235.537, 2382.661]",0.9683761537664237
"(2382.661, 2539.468]",0.9720230723241576
"(2539.468, 2706.595]",0.9704341950090863
"(2706.595, 2884.72]",0.9693406159783673
"(2884.72, 3074.568]",0.9730710723842995
"(3074.568, 3276.91]",0.9728436376727438
"(3276.91, 3492.568]",0.9774966724054801
"(3492.568, 3722.42]",0.9644640678997316
"(3722.42, 3967.398]",0.9714165776909506
"(3967.398, 4228.499]",0.9642406000883879
"(4228.499, 4506.783]",0.9740524153297884
"(4506.783, 4803.381]",0.9539881924447622
"(4803.381, 5119.5]",0.9815376299373109
"(5119.5, 5456.422]",0.9641767798744679
"(5456.422, 5815.518]",0.9733064307923083
"(5815.518, 6198.246]",0.9685692050239263
"(6198.246, 6606.162]",0.975449809368698
"(6606.162, 7040.924]",0.9708365029605326
"(7040.924, 7504.298]",0.9579890124416439
"(7504.298, 7998.168]",0.9580245222378649
"(7998.168, 8524.54]",0.9446853736490176
"(8524.54, 9085.554]",0.9733346201519065
"(9085.554, 9683.488]",0.9476295519345159
"(9683.488, 10320.774]",0.9679471374304642
"(10320.774, 11000.0]",0.9526857106923877
