IntronLengthBin,AcceptorScore
"(50.0, 55.314]",0.2454573366267141
"(55.314, 61.192]",0.479677265023178
"(61.192, 67.695]",0.7207874778419009
"(67.695, 74.89]",0.9129271815757019
"(74.89, 82.848]",0.955924956993421
"(82.848, 91.653]",0.9651684320496849
"(91.653, 101.393]",0.9607337914141096
"(101.393, 112.169]",0.9470866113170416
"(112.169, 124.09]",0.9450666909033862
"(124.09, 137.277]",0.9512022575385906
"(137.277, 151.866]",0.947216798215075
"(151.866, 168.006]",0.9447606443300027
"(168.006, 185.861]",0.9549509492372026
"(185.861, 205.613]",0.9583101715098056
"(205.613, 227.464]",0.9489560029068576
"(227.464, 251.638]",0.9470314575934337
"(251.638, 278.38]",0.9439580456944068
"(278.38, 307.965]",0.9461477855024516
"(307.965, 340.694]",0.9463607731232762
"(340.694, 376.901]",0.9473417564248026
"(376.901, 416.956]",0.9474093276319078
"(416.956, 461.267]",0.9480888108654718
"(461.267, 510.288]",0.9477790509608072
"(510.288, 564.519]",0.9503713402194018
"(564.519, 624.513]",0.9499743146588719
"(624.513, 690.883]",0.9517952661822778
"(690.883, 764.306]",0.9499107634901959
"(764.306, 845.532]",0.9539186562667217
"(845.532, 935.39]",0.9571224420460014
"(935.39, 1034.798]",0.9507092806590836
"(1034.798, 1144.771]",0.9609377860762672
"(1144.771, 1266.431]",0.9551281628439273
"(1266.431, 1401.02]",0.959360277965075
"(1401.02, 1549.912]",0.9614883414022215
"(1549.912, 1714.628]",0.9570009264212052
"(1714.628, 1896.849]",0.9629916828157847
"(1896.849, 2098.436]",0.9616590239330588
"(2098.436, 2321.446]",0.959233118949928
"(2321.446, 2568.156]",0.9627702399186304
"(2568.156, 2841.085]",0.9630503084264801
"(2841.085, 3143.019]",0.9635604513475788
"(3143.019, 3477.042]",0.9674222553386462
"(3477.042, 3846.562]",0.964121178567499
"(3846.562, 4255.353]",0.9591975144349217
"(4255.353, 4707.589]",0.9663431203321011
"(4707.589, 5207.885]",0.9655717193440745
"(5207.885, 5761.349]",0.9657878585499429
"(5761.349, 6373.633]",0.9637482868805963
"(6373.633, 7050.987]",0.9679563598713241
"(7050.987, 7800.326]",0.9650552988278774
"(7800.326, 8629.301]",0.9701089001271952
"(8629.301, 9546.375]",0.9681432841753175
"(9546.375, 10560.91]",0.968382382216721
"(10560.91, 11683.264]",0.9703894721654486
"(11683.264, 12924.896]",0.9718936495621737
"(12924.896, 14298.481]",0.9671384400029587
"(14298.481, 15818.043]",0.9702632630971763
"(15818.043, 17499.096]",0.9710959083821257
"(17499.096, 19358.802]",0.96750706491743
"(19358.802, 21416.146]",0.9757945335608436
"(21416.146, 23692.134]",0.9749010503963879
"(23692.134, 26210.001]",0.9734049077707236
"(26210.001, 28995.453]",0.973845246478479
"(28995.453, 32076.926]",0.9749740587997496
"(32076.926, 35485.882]",0.9788705501303119
"(35485.882, 39257.122]",0.977588448660007
"(39257.122, 43429.148]",0.9777533055106019
"(43429.148, 48044.554]",0.9801931992808679
"(48044.554, 53150.46]",0.9799298383635267
"(53150.46, 58798.992]",0.9809888832711317
"(58798.992, 65047.818]",0.9839044177712131
"(65047.818, 71960.735]",0.9780031416203553
"(71960.735, 79608.318]",0.9779170287515799
"(79608.318, 88068.642]",0.9764733381084065
"(88068.642, 97428.083]",0.985594597316454
"(97428.083, 107782.192]",0.9776197921739793
"(107782.192, 119236.678]",0.9822994892033721
"(119236.678, 131908.482]",0.9830658973662834
"(131908.482, 145926.974]",0.9809950796816598
"(145926.974, 161435.273]",0.9836084633088571
"(161435.273, 178591.707]",0.9850550391026087
"(178591.707, 197571.43]",0.9826108563177112
"(197571.43, 218568.212]",0.9881107992721054
"(218568.212, 241796.413]",0.9849589712893698
"(241796.413, 267493.178]",0.9905775017208523
"(267493.178, 295920.85]",0.9815185580157886
"(295920.85, 327369.655]",0.9844144799998987
"(327369.655, 362160.663]",0.9693423922059531
"(362160.663, 400649.063]",0.9883840582587502
"(400649.063, 443227.795]",0.9930850515762965
"(443227.795, 490331.554]",0.9938711173394147
"(490331.554, 542441.237]",0.9834433985607964
"(542441.237, 600088.844]",0.9959320187568664
"(600088.844, 663862.915]",0.9941911449035009
"(663862.915, 734414.535]",0.9967436095078787
"(734414.535, 812463.986]",0.9641457994778951
"(812463.986, 898808.093]",0.9961282951491219
"(898808.093, 994328.368]",0.79822339550592
"(994328.368, 1100000.0]",0.9971277117729187
