DonorLengthBin,DonorScore
"(20.0, 21.316]",0.9080769662100319
"(21.316, 22.719]",0.8496400709604005
"(22.719, 24.214]",0.8831241799977236
"(24.214, 25.808]",0.8832813347813049
"(25.808, 27.506]",0.8865202751744281
"(27.506, 29.317]",0.9029011569457869
"(29.317, 31.246]",0.8905919787020126
"(31.246, 33.302]",0.9383383383914597
"(33.302, 35.494]",0.9150178034550072
"(35.494, 37.83]",0.9408079493077625
"(37.83, 40.319]",0.9222967101619162
"(40.319, 42.973]",0.9327873028845123
"(42.973, 45.801]",0.9230581481043253
"(45.801, 48.815]",0.9176369774733361
"(48.815, 52.028]",0.9439790360185609
"(52.028, 55.452]",0.9525329286830929
"(55.452, 59.101]",0.9458977279079662
"(59.101, 62.991]",0.9509759778834295
"(62.991, 67.136]",0.9478016037111893
"(67.136, 71.555]",0.9537592791091903
"(71.555, 76.264]",0.9559631523015854
"(76.264, 81.283]",0.960225259285665
"(81.283, 86.632]",0.9624337764238505
"(86.632, 92.334]",0.9639355177368766
"(92.334, 98.41]",0.9610825795768635
"(98.41, 104.887]",0.9708209305438199
"(104.887, 111.79]",0.9721880162743842
"(111.79, 119.147]",0.9714742486469615
"(119.147, 126.988]",0.9714795077715105
"(126.988, 135.345]",0.9770096374027069
"(135.345, 144.253]",0.9762631301082446
"(144.253, 153.746]",0.9777283821622964
"(153.746, 163.864]",0.9786129446880214
"(163.864, 174.648]",0.9800382568350957
"(174.648, 186.142]",0.9809100774325709
"(186.142, 198.393]",0.9820375031902274
"(198.393, 211.449]",0.9840666555296216
"(211.449, 225.365]",0.9800026644847365
"(225.365, 240.197]",0.9803812724048749
"(240.197, 256.004]",0.9805729831543799
"(256.004, 272.852]",0.978384064263878
"(272.852, 290.809]",0.9824160068203134
"(290.809, 309.948]",0.9747189574445112
"(309.948, 330.346]",0.9785287660804929
"(330.346, 352.087]",0.9739244385993111
"(352.087, 375.258]",0.9750056378232129
"(375.258, 399.954]",0.9733637140641567
"(399.954, 426.276]",0.9706323501560519
"(426.276, 454.33]",0.9753649613685094
"(454.33, 484.23]",0.9722757046026022
"(484.23, 516.098]",0.9630837599712327
"(516.098, 550.063]",0.9650610225796085
"(550.063, 586.263]",0.9787986325994069
"(586.263, 624.846]",0.9707745074586415
"(624.846, 665.969]",0.9721975194482475
"(665.969, 709.797]",0.9730967967740191
"(709.797, 756.51]",0.9653948677352641
"(756.51, 806.297]",0.9659537225220552
"(806.297, 859.361]",0.9591634714254481
"(859.361, 915.916]",0.9590456966154379
"(915.916, 976.194]",0.9678977116334814
"(976.194, 1040.439]",0.9623044963205878
"(1040.439, 1108.912]",0.9518620071701
"(1108.912, 1181.891]",0.9726586179536783
"(1181.891, 1259.674]",0.9622033587362022
"(1259.674, 1342.575]",0.9524246656600314
"(1342.575, 1430.932]",0.9358414813639566
"(1430.932, 1525.103]",0.9487706939140609
"(1525.103, 1625.473]",0.9626940508623651
"(1625.473, 1732.448]",0.9657144404673684
"(1732.448, 1846.463]",0.9612578985475115
"(1846.463, 1967.982]",0.9660343591023383
"(1967.982, 2097.498]",0.9468922468374956
"(2097.498, 2235.537]",0.9471610227335964
"(2235.537, 2382.661]",0.9520027980794951
"(2382.661, 2539.468]",0.9123401451251628
"(2539.468, 2706.595]",0.9629817486203225
"(2706.595, 2884.72]",0.9447527993641935
"(2884.72, 3074.568]",0.9509913993175687
"(3074.568, 3276.91]",0.9625172915052951
"(3276.91, 3492.568]",0.9324263901716592
"(3492.568, 3722.42]",0.9166633364650387
"(3722.42, 3967.398]",0.9381695855232074
"(3967.398, 4228.499]",0.9035727751732734
"(4228.499, 4506.783]",0.9625745153675477
"(4506.783, 4803.381]",0.9574833879261418
"(4803.381, 5119.5]",0.9666873677633703
"(5119.5, 5456.422]",0.9598238801519419
"(5456.422, 5815.518]",0.9467585797106882
"(5815.518, 6198.246]",0.9237133204154562
"(6198.246, 6606.162]",0.9361716954975717
"(6606.162, 7040.924]",0.9251834914601066
"(7040.924, 7504.298]",0.9442878854020299
"(7504.298, 7998.168]",0.92358776133868
"(7998.168, 8524.54]",0.9248208787563877
"(8524.54, 9085.554]",0.9524035407551403
"(9085.554, 9683.488]",0.9505325873591461
"(9683.488, 10320.774]",0.9497501828438161
"(10320.774, 11000.0]",0.961692220678455
