IntronLengthBin,AcceptorScore
"(50.0, 55.314]",0.12177976832495112
"(55.314, 61.192]",0.1599798757487142
"(61.192, 67.695]",0.5389026208212963
"(67.695, 74.89]",0.7248154252305568
"(74.89, 82.848]",0.8044739454359338
"(82.848, 91.653]",0.8252854647779317
"(91.653, 101.393]",0.8162385801674819
"(101.393, 112.169]",0.8024927278266839
"(112.169, 124.09]",0.7832161039080899
"(124.09, 137.277]",0.7826279834641199
"(137.277, 151.866]",0.7742155583236949
"(151.866, 168.006]",0.7297547089154829
"(168.006, 185.861]",0.6859106767754912
"(185.861, 205.613]",0.6188221868922362
"(205.613, 227.464]",0.5043128464791202
"(227.464, 251.638]",0.5002322566831938
"(251.638, 278.38]",0.5060772376054904
"(278.38, 307.965]",0.5015885124108529
"(307.965, 340.694]",0.5161353192917351
"(340.694, 376.901]",0.510867973643551
"(376.901, 416.956]",0.5141220198441275
"(416.956, 461.267]",0.5145186186218795
"(461.267, 510.288]",0.5093435124802841
"(510.288, 564.519]",0.5228246519468621
"(564.519, 624.513]",0.5250202200769044
"(624.513, 690.883]",0.529804100145593
"(690.883, 764.306]",0.5352302412691199
"(764.306, 845.532]",0.531324251616252
"(845.532, 935.39]",0.5424889863236471
"(935.39, 1034.798]",0.5407541364820085
"(1034.798, 1144.771]",0.5376742353486038
"(1144.771, 1266.431]",0.5345052302541276
"(1266.431, 1401.02]",0.5431076109348397
"(1401.02, 1549.912]",0.5557151817626558
"(1549.912, 1714.628]",0.55202678141431
"(1714.628, 1896.849]",0.5471657289561469
"(1896.849, 2098.436]",0.5557097719166537
"(2098.436, 2321.446]",0.5553307488550454
"(2321.446, 2568.156]",0.5687877669954811
"(2568.156, 2841.085]",0.5552472081172678
"(2841.085, 3143.019]",0.561659971687859
"(3143.019, 3477.042]",0.5548743964005237
"(3477.042, 3846.562]",0.567624001099023
"(3846.562, 4255.353]",0.5706611186598739
"(4255.353, 4707.589]",0.5829532875045705
"(4707.589, 5207.885]",0.5716748326004423
"(5207.885, 5761.349]",0.5767429784246497
"(5761.349, 6373.633]",0.5780430231014462
"(6373.633, 7050.987]",0.5844604391118173
"(7050.987, 7800.326]",0.5811844130708992
"(7800.326, 8629.301]",0.590008436526092
"(8629.301, 9546.375]",0.5875673317621343
"(9546.375, 10560.91]",0.5823385062424152
"(10560.91, 11683.264]",0.5979835975708783
"(11683.264, 12924.896]",0.6024421358022106
"(12924.896, 14298.481]",0.5965306726967087
"(14298.481, 15818.043]",0.6025803015196399
"(15818.043, 17499.096]",0.6006212977861104
"(17499.096, 19358.802]",0.6097752212292405
"(19358.802, 21416.146]",0.6132872100935225
"(21416.146, 23692.134]",0.615257377533197
"(23692.134, 26210.001]",0.6095248195846404
"(26210.001, 28995.453]",0.6127898691375157
"(28995.453, 32076.926]",0.6235624229376199
"(32076.926, 35485.882]",0.6203418556337401
"(35485.882, 39257.122]",0.6228099390160954
"(39257.122, 43429.148]",0.6362585409717642
"(43429.148, 48044.554]",0.6247030407105933
"(48044.554, 53150.46]",0.6387284498692681
"(53150.46, 58798.992]",0.6484883979407031
"(58798.992, 65047.818]",0.6404003071927331
"(65047.818, 71960.735]",0.6474349827463228
"(71960.735, 79608.318]",0.62975708178627
"(79608.318, 88068.642]",0.6283316220970039
"(88068.642, 97428.083]",0.6410858793917735
"(97428.083, 107782.192]",0.6239285000015141
"(107782.192, 119236.678]",0.6343941827232735
"(119236.678, 131908.482]",0.6471802016413756
"(131908.482, 145926.974]",0.6436071520464004
"(145926.974, 161435.273]",0.6353406913449993
"(161435.273, 178591.707]",0.639486949629472
"(178591.707, 197571.43]",0.6413266267080004
"(197571.43, 218568.212]",0.6596128449968572
"(218568.212, 241796.413]",0.6470770750278406
"(241796.413, 267493.178]",0.6540148310087345
"(267493.178, 295920.85]",0.6701345733047401
"(295920.85, 327369.655]",0.6507480708516646
"(327369.655, 362160.663]",0.6597098903019796
"(362160.663, 400649.063]",0.6642729743299159
"(400649.063, 443227.795]",0.6397312668462595
"(443227.795, 490331.554]",0.6769186328439152
"(490331.554, 542441.237]",0.6058475924655795
"(542441.237, 600088.844]",0.7326423674821854
"(600088.844, 663862.915]",0.6233189019064108
"(663862.915, 734414.535]",0.7076446413993835
"(734414.535, 812463.986]",0.7003346416685317
"(812463.986, 898808.093]",0.5212557698999133
"(898808.093, 994328.368]",0.4570586345187621
"(994328.368, 1100000.0]",0.7253928333520889
