IntronLengthBin,DonorScore
"(50.0, 55.314]",0.4059243956716125
"(55.314, 61.192]",0.5443109350913625
"(61.192, 67.695]",0.8368907209677925
"(67.695, 74.89]",0.9667284699329548
"(74.89, 82.848]",0.9589013543940027
"(82.848, 91.653]",0.9464067371279801
"(91.653, 101.393]",0.9379102934218178
"(101.393, 112.169]",0.9389686434247021
"(112.169, 124.09]",0.9406917826589372
"(124.09, 137.277]",0.9557900264360953
"(137.277, 151.866]",0.9601526702040943
"(151.866, 168.006]",0.9587452633384831
"(168.006, 185.861]",0.9630676534412947
"(185.861, 205.613]",0.9702895296981593
"(205.613, 227.464]",0.9700253194802834
"(227.464, 251.638]",0.9635064734482762
"(251.638, 278.38]",0.9676265513266628
"(278.38, 307.965]",0.9639941888118867
"(307.965, 340.694]",0.9630419215628445
"(340.694, 376.901]",0.9589476516811354
"(376.901, 416.956]",0.9663242902769468
"(416.956, 461.267]",0.9607091669956223
"(461.267, 510.288]",0.9634579905750728
"(510.288, 564.519]",0.9616962142698888
"(564.519, 624.513]",0.9618871859692545
"(624.513, 690.883]",0.9605279120139995
"(690.883, 764.306]",0.9649391495926877
"(764.306, 845.532]",0.9620277704988474
"(845.532, 935.39]",0.9643442097061915
"(935.39, 1034.798]",0.9662073758108001
"(1034.798, 1144.771]",0.9663368998828041
"(1144.771, 1266.431]",0.9634623472748627
"(1266.431, 1401.02]",0.9639863902340361
"(1401.02, 1549.912]",0.9659317414627706
"(1549.912, 1714.628]",0.9682283085910355
"(1714.628, 1896.849]",0.9647174485529684
"(1896.849, 2098.436]",0.970048388962339
"(2098.436, 2321.446]",0.9689500735404217
"(2321.446, 2568.156]",0.9637426336494735
"(2568.156, 2841.085]",0.9682633341468798
"(2841.085, 3143.019]",0.9715040432627665
"(3143.019, 3477.042]",0.9698318732908965
"(3477.042, 3846.562]",0.9691728345484796
"(3846.562, 4255.353]",0.9708238808800759
"(4255.353, 4707.589]",0.9704302710577775
"(4707.589, 5207.885]",0.9733576213435166
"(5207.885, 5761.349]",0.973239108286638
"(5761.349, 6373.633]",0.9693112891529262
"(6373.633, 7050.987]",0.969039935314964
"(7050.987, 7800.326]",0.9731953016793534
"(7800.326, 8629.301]",0.9705597796610939
"(8629.301, 9546.375]",0.9689614291567547
"(9546.375, 10560.91]",0.9769211241476239
"(10560.91, 11683.264]",0.9723034135620013
"(11683.264, 12924.896]",0.9713874153394428
"(12924.896, 14298.481]",0.9754360908326408
"(14298.481, 15818.043]",0.9751055792016149
"(15818.043, 17499.096]",0.9750246680101583
"(17499.096, 19358.802]",0.9745741870309891
"(19358.802, 21416.146]",0.9731837703391139
"(21416.146, 23692.134]",0.9742351797922174
"(23692.134, 26210.001]",0.9775088502447218
"(26210.001, 28995.453]",0.9758129353237525
"(28995.453, 32076.926]",0.9766940267303241
"(32076.926, 35485.882]",0.9813016673924831
"(35485.882, 39257.122]",0.9771124957964779
"(39257.122, 43429.148]",0.9808306369361101
"(43429.148, 48044.554]",0.9810124622838442
"(48044.554, 53150.46]",0.9864991155303159
"(53150.46, 58798.992]",0.9807517297544172
"(58798.992, 65047.818]",0.9842928494099495
"(65047.818, 71960.735]",0.9844947395859108
"(71960.735, 79608.318]",0.9829946423138891
"(79608.318, 88068.642]",0.9846628932348649
"(88068.642, 97428.083]",0.9847041773039565
"(97428.083, 107782.192]",0.9814459827300772
"(107782.192, 119236.678]",0.9842514286297346
"(119236.678, 131908.482]",0.9872875603698822
"(131908.482, 145926.974]",0.9840049374111733
"(145926.974, 161435.273]",0.9757746974186857
"(161435.273, 178591.707]",0.9861749040975666
"(178591.707, 197571.43]",0.9912136144910999
"(197571.43, 218568.212]",0.9868350578032715
"(218568.212, 241796.413]",0.9770451201798601
"(241796.413, 267493.178]",0.9927124906469275
"(267493.178, 295920.85]",0.9889370163861853
"(295920.85, 327369.655]",0.9840798199733841
"(327369.655, 362160.663]",0.9757823649939005
"(362160.663, 400649.063]",0.995014471357519
"(400649.063, 443227.795]",0.9708043864617745
"(443227.795, 490331.554]",0.9862386847243589
"(490331.554, 542441.237]",0.9571024405636958
"(542441.237, 600088.844]",0.9807872891426086
"(600088.844, 663862.915]",0.9954848239819208
"(663862.915, 734414.535]",0.9969331423441569
"(734414.535, 812463.986]",0.9971485601531135
"(812463.986, 898808.093]",0.9962811810629708
"(898808.093, 994328.368]",0.7975623238831758
"(994328.368, 1100000.0]",0.9976683855056763
