IntronLengthBin,DonorScore
"(50.0, 55.314]",0.2721060985744799
"(55.314, 61.192]",0.44694443837374087
"(61.192, 67.695]",0.7400888981845605
"(67.695, 74.89]",0.8770775191102493
"(74.89, 82.848]",0.8976802105125213
"(82.848, 91.653]",0.9112976702413843
"(91.653, 101.393]",0.9024824830022814
"(101.393, 112.169]",0.8934360613505282
"(112.169, 124.09]",0.8696949887031091
"(124.09, 137.277]",0.8576959022216543
"(137.277, 151.866]",0.8509596262640629
"(151.866, 168.006]",0.8063938544288456
"(168.006, 185.861]",0.7706648566445942
"(185.861, 205.613]",0.7491827751777794
"(205.613, 227.464]",0.6909543482194459
"(227.464, 251.638]",0.6919939948449926
"(251.638, 278.38]",0.7004706371798193
"(278.38, 307.965]",0.6932523579132563
"(307.965, 340.694]",0.6985331198482518
"(340.694, 376.901]",0.6947888914169774
"(376.901, 416.956]",0.703253578986042
"(416.956, 461.267]",0.6984747706310565
"(461.267, 510.288]",0.7076171972008576
"(510.288, 564.519]",0.6979282792899176
"(564.519, 624.513]",0.7027050207107309
"(624.513, 690.883]",0.7028806871756089
"(690.883, 764.306]",0.7068652871984282
"(764.306, 845.532]",0.7041540365992901
"(845.532, 935.39]",0.7109338907208614
"(935.39, 1034.798]",0.7086617834282273
"(1034.798, 1144.771]",0.7094099840907315
"(1144.771, 1266.431]",0.7132864993516508
"(1266.431, 1401.02]",0.7109390454368368
"(1401.02, 1549.912]",0.7143592266829553
"(1549.912, 1714.628]",0.7111673651282806
"(1714.628, 1896.849]",0.7140450451850254
"(1896.849, 2098.436]",0.7169691721928865
"(2098.436, 2321.446]",0.7217715615418153
"(2321.446, 2568.156]",0.7166885412100287
"(2568.156, 2841.085]",0.7235066503162897
"(2841.085, 3143.019]",0.7263190315922942
"(3143.019, 3477.042]",0.736081146383756
"(3477.042, 3846.562]",0.728108219975839
"(3846.562, 4255.353]",0.7302372344119361
"(4255.353, 4707.589]",0.7367154504452269
"(4707.589, 5207.885]",0.7377311961082631
"(5207.885, 5761.349]",0.7379273824513342
"(5761.349, 6373.633]",0.7331222210293079
"(6373.633, 7050.987]",0.7346250672760902
"(7050.987, 7800.326]",0.7421888645088798
"(7800.326, 8629.301]",0.7379930566535301
"(8629.301, 9546.375]",0.7422567427876771
"(9546.375, 10560.91]",0.7494736677853747
"(10560.91, 11683.264]",0.7414283066815853
"(11683.264, 12924.896]",0.745929426336626
"(12924.896, 14298.481]",0.7404904571307319
"(14298.481, 15818.043]",0.7469765068297254
"(15818.043, 17499.096]",0.7461160924904193
"(17499.096, 19358.802]",0.7484813910083841
"(19358.802, 21416.146]",0.752053939364467
"(21416.146, 23692.134]",0.7540937733032684
"(23692.134, 26210.001]",0.750733934089697
"(26210.001, 28995.453]",0.7476458695013469
"(28995.453, 32076.926]",0.7578009155495511
"(32076.926, 35485.882]",0.7590156600882394
"(35485.882, 39257.122]",0.753541506630317
"(39257.122, 43429.148]",0.7650745708082225
"(43429.148, 48044.554]",0.753796519757343
"(48044.554, 53150.46]",0.7670803341023029
"(53150.46, 58798.992]",0.7661175142525427
"(58798.992, 65047.818]",0.7704150085905122
"(65047.818, 71960.735]",0.7686262386071644
"(71960.735, 79608.318]",0.7692345615017601
"(79608.318, 88068.642]",0.7756095887652447
"(88068.642, 97428.083]",0.76756846275953
"(97428.083, 107782.192]",0.7666177455345072
"(107782.192, 119236.678]",0.7898279768609983
"(119236.678, 131908.482]",0.7689957556864975
"(131908.482, 145926.974]",0.783905008275646
"(145926.974, 161435.273]",0.7603505605426665
"(161435.273, 178591.707]",0.7781269105212956
"(178591.707, 197571.43]",0.7768211665027069
"(197571.43, 218568.212]",0.7670524503825944
"(218568.212, 241796.413]",0.7731926485029537
"(241796.413, 267493.178]",0.7871911971657365
"(267493.178, 295920.85]",0.7883265172777167
"(295920.85, 327369.655]",0.7831987671762983
"(327369.655, 362160.663]",0.7735544709706461
"(362160.663, 400649.063]",0.7993686730211431
"(400649.063, 443227.795]",0.7957652430567477
"(443227.795, 490331.554]",0.7712932982865501
"(490331.554, 542441.237]",0.7576836028269359
"(542441.237, 600088.844]",0.7520027786493302
"(600088.844, 663862.915]",0.7794593100746473
"(663862.915, 734414.535]",0.7940315206845602
"(734414.535, 812463.986]",0.7984510925081041
"(812463.986, 898808.093]",0.7780791137899671
"(898808.093, 994328.368]",0.6508254268026576
"(994328.368, 1100000.0]",0.8213662505149841
