,Biotype,JunctionScore,Count
14,Negative,0,349022
15,Negative,1,11605
16,Negative,2,2933
17,Negative,3,1547
18,Negative,4,981
19,Negative,5,724
20,Negative,6,579
21,Negative,7,454
22,Negative,8,461
23,Negative,9,336
24,Negative,10,325
25,Negative,11,306
26,Negative,12,275
27,Negative,13,256
28,Negative,14,229
29,Negative,15,211
30,Negative,16,215
31,Negative,17,190
32,Negative,18,193
33,Negative,19,184
34,Negative,20,172
35,Negative,21,142
36,Negative,22,162
37,Negative,23,167
38,Negative,24,168
39,Negative,25,183
40,Negative,26,156
41,Negative,27,166
42,Negative,28,150
43,Negative,29,163
44,Negative,30,134
45,Negative,31,152
46,Negative,32,189
47,Negative,33,172
48,Negative,34,177
49,Negative,35,154
50,Negative,36,170
51,Negative,37,187
52,Negative,38,204
53,Negative,39,185
54,Negative,40,217
55,Negative,41,209
56,Negative,42,224
57,Negative,43,289
58,Negative,44,323
59,Negative,45,331
60,Negative,46,438
61,Negative,47,561
62,Negative,48,726
63,Negative,49,1460
64,Negative,50,1708
65,Negative,51,75
66,Negative,52,38
67,Negative,53,28
68,Negative,54,22
69,Negative,55,18
70,Negative,56,14
71,Negative,57,13
72,Negative,58,9
73,Negative,59,15
74,Negative,60,7
75,Negative,61,13
76,Negative,62,9
77,Negative,63,11
78,Negative,64,7
79,Negative,65,4
80,Negative,66,5
81,Negative,67,3
82,Negative,68,5
83,Negative,69,5
84,Negative,70,6
85,Negative,71,7
86,Negative,72,4
87,Negative,73,7
88,Negative,74,10
89,Negative,75,13
90,Negative,76,6
91,Negative,77,4
92,Negative,78,5
93,Negative,79,5
94,Negative,80,7
95,Negative,81,5
96,Negative,82,10
97,Negative,83,3
98,Negative,84,2
99,Negative,85,6
100,Negative,86,4
101,Negative,87,5
102,Negative,88,7
103,Negative,89,4
104,Negative,90,7
105,Negative,91,12
106,Negative,92,7
107,Negative,93,9
108,Negative,94,5
109,Negative,95,11
110,Negative,96,7
111,Negative,97,12
112,Negative,98,18
113,Negative,99,15
114,Negative,100,3
286,mRNA,0,603
287,mRNA,1,194
288,mRNA,2,65
289,mRNA,3,51
290,mRNA,4,37
291,mRNA,5,26
292,mRNA,6,22
293,mRNA,7,31
294,mRNA,8,20
295,mRNA,9,19
296,mRNA,10,12
297,mRNA,11,20
298,mRNA,12,14
299,mRNA,13,13
300,mRNA,14,13
301,mRNA,15,7
302,mRNA,16,13
303,mRNA,17,12
304,mRNA,18,14
305,mRNA,19,14
306,mRNA,20,21
307,mRNA,21,13
308,mRNA,22,13
309,mRNA,23,15
310,mRNA,24,21
311,mRNA,25,14
312,mRNA,26,15
313,mRNA,27,23
314,mRNA,28,14
315,mRNA,29,13
316,mRNA,30,13
317,mRNA,31,17
318,mRNA,32,22
319,mRNA,33,28
320,mRNA,34,23
321,mRNA,35,29
322,mRNA,36,29
323,mRNA,37,27
324,mRNA,38,25
325,mRNA,39,29
326,mRNA,40,38
327,mRNA,41,45
328,mRNA,42,38
329,mRNA,43,66
330,mRNA,44,62
331,mRNA,45,65
332,mRNA,46,87
333,mRNA,47,112
334,mRNA,48,214
335,mRNA,49,542
336,mRNA,50,3949
337,mRNA,51,1991
338,mRNA,52,1263
339,mRNA,53,942
340,mRNA,54,826
341,mRNA,55,651
342,mRNA,56,566
343,mRNA,57,552
344,mRNA,58,540
345,mRNA,59,481
346,mRNA,60,496
347,mRNA,61,423
348,mRNA,62,431
349,mRNA,63,453
350,mRNA,64,472
351,mRNA,65,434
352,mRNA,66,469
353,mRNA,67,447
354,mRNA,68,454
355,mRNA,69,395
356,mRNA,70,391
357,mRNA,71,422
358,mRNA,72,448
359,mRNA,73,477
360,mRNA,74,461
361,mRNA,75,509
362,mRNA,76,439
363,mRNA,77,508
364,mRNA,78,494
365,mRNA,79,526
366,mRNA,80,519
367,mRNA,81,576
368,mRNA,82,616
369,mRNA,83,637
370,mRNA,84,659
371,mRNA,85,747
372,mRNA,86,834
373,mRNA,87,825
374,mRNA,88,918
375,mRNA,89,1122
376,mRNA,90,1171
377,mRNA,91,1457
378,mRNA,92,1634
379,mRNA,93,1941
380,mRNA,94,2414
381,mRNA,95,3212
382,mRNA,96,4320
383,mRNA,97,6778
384,mRNA,98,13172
385,mRNA,99,54721
386,mRNA,100,130876
395,transcript,0,139
396,transcript,1,66
397,transcript,2,17
398,transcript,3,10
399,transcript,4,6
400,transcript,5,7
401,transcript,6,2
402,transcript,7,3
403,transcript,8,6
404,transcript,9,4
405,transcript,10,6
406,transcript,11,6
407,transcript,12,3
408,transcript,13,4
409,transcript,14,8
410,transcript,15,6
411,transcript,16,3
412,transcript,17,7
413,transcript,18,4
414,transcript,19,13
415,transcript,20,2
416,transcript,21,5
417,transcript,22,5
418,transcript,23,8
419,transcript,24,3
420,transcript,25,3
421,transcript,26,7
422,transcript,27,9
423,transcript,28,2
424,transcript,29,5
425,transcript,30,7
426,transcript,31,4
427,transcript,32,4
428,transcript,33,7
429,transcript,34,11
430,transcript,35,4
431,transcript,36,5
432,transcript,37,10
433,transcript,38,6
434,transcript,39,13
435,transcript,40,4
436,transcript,41,13
437,transcript,42,8
438,transcript,43,15
439,transcript,44,20
440,transcript,45,26
441,transcript,46,26
442,transcript,47,36
443,transcript,48,81
444,transcript,49,156
445,transcript,50,1101
446,transcript,51,597
447,transcript,52,332
448,transcript,53,282
449,transcript,54,226
450,transcript,55,184
451,transcript,56,196
452,transcript,57,158
453,transcript,58,145
454,transcript,59,182
455,transcript,60,163
456,transcript,61,137
457,transcript,62,105
458,transcript,63,128
459,transcript,64,115
460,transcript,65,127
461,transcript,66,133
462,transcript,67,125
463,transcript,68,130
464,transcript,69,126
465,transcript,70,132
466,transcript,71,141
467,transcript,72,122
468,transcript,73,127
469,transcript,74,135
470,transcript,75,136
471,transcript,76,127
472,transcript,77,149
473,transcript,78,162
474,transcript,79,151
475,transcript,80,154
476,transcript,81,170
477,transcript,82,199
478,transcript,83,234
479,transcript,84,183
480,transcript,85,233
481,transcript,86,224
482,transcript,87,272
483,transcript,88,286
484,transcript,89,343
485,transcript,90,392
486,transcript,91,414
487,transcript,92,529
488,transcript,93,578
489,transcript,94,722
490,transcript,95,990
491,transcript,96,1378
492,transcript,97,2207
493,transcript,98,4119
494,transcript,99,16161
495,transcript,100,33549
185,lnc_RNA,0,131
186,lnc_RNA,1,48
187,lnc_RNA,2,20
188,lnc_RNA,3,8
189,lnc_RNA,4,13
190,lnc_RNA,5,4
191,lnc_RNA,6,9
192,lnc_RNA,7,13
193,lnc_RNA,8,10
194,lnc_RNA,9,4
195,lnc_RNA,10,8
196,lnc_RNA,11,6
197,lnc_RNA,12,8
198,lnc_RNA,13,4
199,lnc_RNA,14,3
200,lnc_RNA,15,7
201,lnc_RNA,16,7
202,lnc_RNA,17,7
203,lnc_RNA,18,8
204,lnc_RNA,19,10
205,lnc_RNA,20,7
206,lnc_RNA,21,10
207,lnc_RNA,22,7
208,lnc_RNA,23,7
209,lnc_RNA,24,6
210,lnc_RNA,25,5
211,lnc_RNA,26,10
212,lnc_RNA,27,10
213,lnc_RNA,28,7
214,lnc_RNA,29,3
215,lnc_RNA,30,6
216,lnc_RNA,31,8
217,lnc_RNA,32,6
218,lnc_RNA,33,7
219,lnc_RNA,34,8
220,lnc_RNA,35,5
221,lnc_RNA,36,21
222,lnc_RNA,37,12
223,lnc_RNA,38,7
224,lnc_RNA,39,16
225,lnc_RNA,40,23
226,lnc_RNA,41,16
227,lnc_RNA,42,15
228,lnc_RNA,43,12
229,lnc_RNA,44,31
230,lnc_RNA,45,17
231,lnc_RNA,46,38
232,lnc_RNA,47,58
233,lnc_RNA,48,104
234,lnc_RNA,49,235
235,lnc_RNA,50,1210
236,lnc_RNA,51,564
237,lnc_RNA,52,368
238,lnc_RNA,53,309
239,lnc_RNA,54,254
240,lnc_RNA,55,208
241,lnc_RNA,56,186
242,lnc_RNA,57,169
243,lnc_RNA,58,176
244,lnc_RNA,59,180
245,lnc_RNA,60,150
246,lnc_RNA,61,145
247,lnc_RNA,62,152
248,lnc_RNA,63,162
249,lnc_RNA,64,138
250,lnc_RNA,65,141
251,lnc_RNA,66,129
252,lnc_RNA,67,127
253,lnc_RNA,68,140
254,lnc_RNA,69,138
255,lnc_RNA,70,134
256,lnc_RNA,71,139
257,lnc_RNA,72,159
258,lnc_RNA,73,156
259,lnc_RNA,74,139
260,lnc_RNA,75,155
261,lnc_RNA,76,185
262,lnc_RNA,77,195
263,lnc_RNA,78,148
264,lnc_RNA,79,170
265,lnc_RNA,80,169
266,lnc_RNA,81,203
267,lnc_RNA,82,216
268,lnc_RNA,83,214
269,lnc_RNA,84,240
270,lnc_RNA,85,245
271,lnc_RNA,86,286
272,lnc_RNA,87,275
273,lnc_RNA,88,345
274,lnc_RNA,89,366
275,lnc_RNA,90,386
276,lnc_RNA,91,445
277,lnc_RNA,92,501
278,lnc_RNA,93,664
279,lnc_RNA,94,783
280,lnc_RNA,95,980
281,lnc_RNA,96,1355
282,lnc_RNA,97,2202
283,lnc_RNA,98,4129
284,lnc_RNA,99,14844
285,lnc_RNA,100,20966
115,V_gene_segment,0,5
116,V_gene_segment,1,2
583,V_gene_segment,2,0
584,V_gene_segment,3,0
585,V_gene_segment,4,0
586,V_gene_segment,5,0
587,V_gene_segment,6,0
117,V_gene_segment,7,1
588,V_gene_segment,8,0
589,V_gene_segment,9,0
590,V_gene_segment,10,0
591,V_gene_segment,11,0
118,V_gene_segment,12,1
592,V_gene_segment,13,0
593,V_gene_segment,14,0
119,V_gene_segment,15,1
120,V_gene_segment,16,1
594,V_gene_segment,17,0
595,V_gene_segment,18,0
596,V_gene_segment,19,0
597,V_gene_segment,20,0
598,V_gene_segment,21,0
121,V_gene_segment,22,1
599,V_gene_segment,23,0
600,V_gene_segment,24,0
601,V_gene_segment,25,0
602,V_gene_segment,26,0
603,V_gene_segment,27,0
604,V_gene_segment,28,0
605,V_gene_segment,29,0
122,V_gene_segment,30,2
606,V_gene_segment,31,0
123,V_gene_segment,32,1
607,V_gene_segment,33,0
608,V_gene_segment,34,0
609,V_gene_segment,35,0
610,V_gene_segment,36,0
611,V_gene_segment,37,0
124,V_gene_segment,38,2
125,V_gene_segment,39,3
126,V_gene_segment,40,2
612,V_gene_segment,41,0
127,V_gene_segment,42,2
128,V_gene_segment,43,1
613,V_gene_segment,44,0
614,V_gene_segment,45,0
