x,Run,Model,Dataset,Window,Time,Loss,Accuracy,F1,MCC,Precision,Recall,Epoch
16,DNABERT2  Splice  Malaria400,DNABERT2,PF_r57_400,400,0.004186666666666667,0.3711099326610565,0.9236641221374046,0.9251010193391757,0.882758655981269,0.9357302514343396,0.9171390332231145,10.0
6,DNABERT1 k6  Splice  Malaria400,DNABERT1_k6,PF_r57_400,400,0.010851666666666667,0.4321097433567047,0.9312977099236641,0.9321865720551998,0.8942737415102485,0.9340837137709679,0.9313493937962525,10.0
20,DNABERT2  Splice  RefSeq400,DNABERT2,RefSeq400,400,0.12325833333333333,0.19722731411457062,0.9338180182881127,0.9333353085533673,0.8942833569446345,0.9323360291654539,0.9346040636789525,10.0
12,DNABERT2  Splice  GENCODE400,DNABERT2,GENCODE400,400,0.160005,0.17884857952594757,0.942261010287828,0.9406511116006294,0.9077095694778303,0.9386093884080505,0.942823494516475,10.0
13,DNABERT2  Splice  Malaria90,DNABERT2,PF_r57_90,90,0.06164,0.21016323566436768,0.9434536755110918,0.9432909382059765,0.909767938497846,0.9413512504010945,0.9453212426501825,10.0
14,DNABERT2  Splice  Malaria150,DNABERT2,PF_r57_150,150,0.038799999999999994,0.18096232414245605,0.9529115744069016,0.9530125086920758,0.9249506329981477,0.9531395591820718,0.952937698220717,10.0
11,DNABERT2  Splice  GENCODE150,DNABERT2,GENCODE150,150,3.354115,0.13382293283939362,0.9587639311043566,0.9575674757674771,0.9337489218791354,0.957703649770433,0.9574609493829936,10.0
17,DNABERT2  Splice  RefSeq90,DNABERT2,RefSeq90,90,1.5688966666666666,0.12195809930562973,0.9589063817435416,0.9580843257867032,0.9344942470535951,0.9556782622049851,0.9606117523193841,10.0
18,DNABERT2  Splice  RefSeq150,DNABERT2,RefSeq150,150,2.142866666666667,0.12183850258588791,0.9623260943332202,0.9615600094504706,0.9393853602032133,0.9628390257880968,0.9603179084136099,10.0
22,NT 2.5B RefSeq90 wot LoRA,NT_2.5B_850g_multi_species,RefSeq90_wot_LoRA,90,0.7436783333333333,0.11232827603816986,0.9626107509641035,0.9614490046801332,0.9402779972162458,0.9601242364221351,0.9628414878327997,10.0
19,DNABERT2  Splice  RefSeq200,DNABERT2,RefSeq200,200,1.4908350000000001,0.12362606823444366,0.9628619851153194,0.9624864206398936,0.9406572129881176,0.9615111394296644,0.9634808664990858,10.0
15,DNABERT2  Splice  Malaria200,DNABERT2,PF_r57_200,200,0.023745000000000002,0.16369317471981049,0.9632701421800948,0.9629025910147394,0.9407994418519042,0.9577950675226066,0.9684827887592865,10.0
1,DNABERT1 k6  Splice  GENCODE400,DNABERT1_k6,GENCODE400,400,0.1256766666666667,0.11391806602478027,0.9637036180788349,0.9625205337087005,0.9416856067998194,0.9642577653558168,0.960837222597617,10.0
28,NT 2.5B RefSeq400 wot LoRA,NT_2.5B_850g_multi_species,RefSeq400_wot_LoRA,400,0.18317,0.11793461441993713,0.9643981412082147,0.9635361334654807,0.9432686262153249,0.9612696276258536,0.9660083242865637,10.0
24,NT 2.5B RefSeq150 wot LoRA,NT_2.5B_850g_multi_species,RefSeq150_wot_LoRA,150,0.8311333333333334,0.10022015124559402,0.966270783847981,0.9653126929565653,0.9463672951164787,0.9609944243528075,0.9700287101797028,10.0
