,Run,Model,Dataset,Window,Time,Loss,Accuracy,F1,MCC,Precision,Recall,Epoch
0,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,0.373545,0.5266453623771667,0.7781329071780531,0.774670395967826,0.6705388266828669,0.766954573094902,0.8026145240973429,0.01
1,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,0.7302283333333333,0.35992148518562317,0.8582367825276335,0.8538526816406198,0.772004216942182,0.8601974822622457,0.8483975068387419,0.02
2,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,1.0874266666666665,0.19271427392959595,0.9351611399653749,0.9336019972678066,0.8961186989859907,0.9364798164851814,0.930929216715758,0.03
3,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,1.44694,0.17246776819229126,0.9482371154614463,0.9456283276153394,0.9171111900197672,0.9511277001002449,0.9408374869467998,0.05
4,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,1.8079099999999997,0.15106096863746643,0.9536805833000399,0.9526292732605005,0.9263482472157489,0.9499641721001083,0.955486915408168,0.06
5,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,2.1648599999999996,0.16639547049999237,0.9508839392728725,0.9495334031755877,0.9224226021693712,0.945369818076072,0.9545306532062633,0.07
6,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,2.522228333333333,0.13263876736164093,0.9579671061392995,0.9568615407106446,0.9329920744655231,0.9553049453398282,0.9584736641042667,0.08
7,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,2.8778,0.17284661531448364,0.9507174723664935,0.9497472764525382,0.9226194274539488,0.9436063810141618,0.9569944802343334,0.09
8,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,3.239608333333334,0.14333036541938782,0.9539386070049274,0.9529369125978869,0.9272796977412582,0.9480415917100208,0.9584656300013621,0.1
9,DNABERT1 k6  Splice  GENCODE150,DNABERT1_k6,GENCODE150,150,3.5950150000000005,0.14019359648227692,0.95653549074444,0.9556039558671087,0.930943084707942,0.9531428585287743,0.9584189683573398,0.11
