	Run	Dataset	F1_Base
137	DRAGEN 4.0.3 default	human T1	98.7051714531733
138	DRAGEN 4.0.3 default	human T2	98.4632647880173
139	DRAGEN 4.0.3 default	human T3	94.2295250701541
140	DRAGEN 4.0.3 default	malaria T1	98.844372060088
141	DRAGEN 4.0.3 default	malaria T2	98.2633292633293
142	DRAGEN 4.0.3 default	malaria T3	91.5445670489754
725	DeepSAP MS150	human T1	98.633348540146
825	DeepSAP MS150	human T2	98.4426612493652
925	DeepSAP MS150	human T3	94.3695755715495
1025	DeepSAP MS150	malaria T1	98.9570858384277
1125	DeepSAP MS150	malaria T2	98.6312317518248
1225	DeepSAP MS150	malaria T3	94.0292741464451
209	HISAT2 2.2.1 default	human T1	98.3689246874682
210	HISAT2 2.2.1 default	human T2	95.2471657585918
211	HISAT2 2.2.1 default	human T3	36.6680909016326
212	HISAT2 2.2.1 default	malaria T1	98.3252557193696
213	HISAT2 2.2.1 default	malaria T2	92.2478311954295
214	HISAT2 2.2.1 default	malaria T3	10.9795275590551
233	STAR 2.7.10a default	human T1	98.6868328267477
234	STAR 2.7.10a default	human T2	98.0264365119837
235	STAR 2.7.10a default	human T3	85.7869617498855
236	STAR 2.7.10a default	malaria T1	98.5939002129601
237	STAR 2.7.10a default	malaria T2	97.2584779033916
238	STAR 2.7.10a default	malaria T3	76.4162543640898
305	Subjunc 2.0.1 default	human T1	95.7733854736952
306	Subjunc 2.0.1 default	human T2	93.7267790660568
307	Subjunc 2.0.1 default	human T3	58.9195835116246
308	Subjunc 2.0.1 default	malaria T1	98.4521464479764
309	Subjunc 2.0.1 default	malaria T2	95.660086643353
310	Subjunc 2.0.1 default	malaria T3	35.7835154025369
311	novoSplice 0.8.4 default	human T1	97.8647546090598
312	novoSplice 0.8.4 default	human T2	97.3561176410204
313	novoSplice 0.8.4 default	human T3	91.032251377448
314	novoSplice 0.8.4 default	malaria T1	98.4065274814589
315	novoSplice 0.8.4 default	malaria T2	97.8657926455567
316	novoSplice 0.8.4 default	malaria T3	87.8459797525309
