	Run	Dataset	F1_Deletion
137	DRAGEN 4.0.3 default	human T1	84.7787771280285
138	DRAGEN 4.0.3 default	human T2	82.9044273715237
139	DRAGEN 4.0.3 default	human T3	60.2925594963918
140	DRAGEN 4.0.3 default	malaria T1	80.9030883567
141	DRAGEN 4.0.3 default	malaria T2	79.6940285749176
142	DRAGEN 4.0.3 default	malaria T3	53.6582951168492
725	DeepSAP MS150	human T1	91.9346395182449
825	DeepSAP MS150	human T2	89.3381989876398
925	DeepSAP MS150	human T3	68.8483113443916
1025	DeepSAP MS150	malaria T1	89.3999095877193
1125	DeepSAP MS150	malaria T2	87.1994921250856
1225	DeepSAP MS150	malaria T3	66.5906735751295
209	HISAT2 2.2.1 default	human T1	79.999373531715
210	HISAT2 2.2.1 default	human T2	58.196409120901
211	HISAT2 2.2.1 default	human T3	1.68507387142456
212	HISAT2 2.2.1 default	malaria T1	75.9964921192919
213	HISAT2 2.2.1 default	malaria T2	55.8584992252638
214	HISAT2 2.2.1 default	malaria T3	1.56715660874088
233	STAR 2.7.10a default	human T1	82.5614790728067
234	STAR 2.7.10a default	human T2	74.4571009855369
235	STAR 2.7.10a default	human T3	26.7530791132805
236	STAR 2.7.10a default	malaria T1	83.1195898886336
237	STAR 2.7.10a default	malaria T2	77.2270322239085
238	STAR 2.7.10a default	malaria T3	34.4108786477691
305	Subjunc 2.0.1 default	human T1	88.7050145444325
306	Subjunc 2.0.1 default	human T2	83.4368079227871
307	Subjunc 2.0.1 default	human T3	21.3889812956761
308	Subjunc 2.0.1 default	malaria T1	91.3700486046639
309	Subjunc 2.0.1 default	malaria T2	87.0101462522852
310	Subjunc 2.0.1 default	malaria T3	22.8449205618236
311	novoSplice 0.8.4 default	human T1	87.0954062879266
312	novoSplice 0.8.4 default	human T2	84.0610301787284
313	novoSplice 0.8.4 default	human T3	59.7751902923068
314	novoSplice 0.8.4 default	malaria T1	88.9130044779522
315	novoSplice 0.8.4 default	malaria T2	86.0501282629289
316	novoSplice 0.8.4 default	malaria T3	58.6333283156503
