	Run	Dataset	F1_Insertion
137	DRAGEN 4.0.3 default	human T1	82.7905832780167
138	DRAGEN 4.0.3 default	human T2	80.9191984629439
139	DRAGEN 4.0.3 default	human T3	59.3850450034618
140	DRAGEN 4.0.3 default	malaria T1	81.0394378998983
141	DRAGEN 4.0.3 default	malaria T2	78.3890151747865
142	DRAGEN 4.0.3 default	malaria T3	54.8445601023367
725	DeepSAP MS150	human T1	90.1260756983086
825	DeepSAP MS150	human T2	87.7727687710203
925	DeepSAP MS150	human T3	67.5461904121352
1025	DeepSAP MS150	malaria T1	89.5383768051084
1125	DeepSAP MS150	malaria T2	86.6168371720866
1225	DeepSAP MS150	malaria T3	67.4540931283247
209	HISAT2 2.2.1 default	human T1	78.0730591535475
210	HISAT2 2.2.1 default	human T2	56.9911193165363
211	HISAT2 2.2.1 default	human T3	1.74406807462652
212	HISAT2 2.2.1 default	malaria T1	75.5925253004536
213	HISAT2 2.2.1 default	malaria T2	55.7542798594848
214	HISAT2 2.2.1 default	malaria T3	1.62612894674682
233	STAR 2.7.10a default	human T1	75.2729358547465
234	STAR 2.7.10a default	human T2	66.8482124616956
235	STAR 2.7.10a default	human T3	23.566383372775
236	STAR 2.7.10a default	malaria T1	78.2260433508807
237	STAR 2.7.10a default	malaria T2	71.06498853564
238	STAR 2.7.10a default	malaria T3	32.9387766934003
305	Subjunc 2.0.1 default	human T1	85.8836150753798
306	Subjunc 2.0.1 default	human T2	81.280987654321
307	Subjunc 2.0.1 default	human T3	22.1225928654109
308	Subjunc 2.0.1 default	malaria T1	90.9705567709473
309	Subjunc 2.0.1 default	malaria T2	85.7235294999253
310	Subjunc 2.0.1 default	malaria T3	24.8532096320234
311	novoSplice 0.8.4 default	human T1	86.0323606000226
312	novoSplice 0.8.4 default	human T2	83.6171780708031
313	novoSplice 0.8.4 default	human T3	58.5081990256369
314	novoSplice 0.8.4 default	malaria T1	89.3984356681627
315	novoSplice 0.8.4 default	malaria T2	85.8806792757467
316	novoSplice 0.8.4 default	malaria T3	60.3299109540503
