	Run	Dataset	F1_Read
137	DRAGEN 4.0.3 default	human T1	98.81634201872
138	DRAGEN 4.0.3 default	human T2	98.7510530579182
139	DRAGEN 4.0.3 default	human T3	97.847010319812
140	DRAGEN 4.0.3 default	malaria T1	99.0770954231215
141	DRAGEN 4.0.3 default	malaria T2	99.005980911983
142	DRAGEN 4.0.3 default	malaria T3	97.4505102302446
725	DeepSAP MS150	human T1	98.7496774846843
825	DeepSAP MS150	human T2	98.6795257637939
925	DeepSAP MS150	human T3	97.3080147965475
1025	DeepSAP MS150	malaria T1	99.2146291070349
1125	DeepSAP MS150	malaria T2	99.2046285656688
1225	DeepSAP MS150	malaria T3	98.4572610947497
209	HISAT2 2.2.1 default	human T1	98.4606620633631
210	HISAT2 2.2.1 default	human T2	95.4100319054344
211	HISAT2 2.2.1 default	human T3	37.004834301612
212	HISAT2 2.2.1 default	malaria T1	98.5189567688248
213	HISAT2 2.2.1 default	malaria T2	92.6089915154119
214	HISAT2 2.2.1 default	malaria T3	11.1062342819325
233	STAR 2.7.10a default	human T1	98.8439532648829
234	STAR 2.7.10a default	human T2	98.5892804624512
235	STAR 2.7.10a default	human T3	89.4799292074553
236	STAR 2.7.10a default	malaria T1	98.8624262958281
237	STAR 2.7.10a default	malaria T2	98.2761182035502
238	STAR 2.7.10a default	malaria T3	83.163291257597
305	Subjunc 2.0.1 default	human T1	95.8958858452245
306	Subjunc 2.0.1 default	human T2	94.1031254305548
307	Subjunc 2.0.1 default	human T3	62.8061027273986
308	Subjunc 2.0.1 default	malaria T1	98.6212308628207
309	Subjunc 2.0.1 default	malaria T2	96.1923322949117
310	Subjunc 2.0.1 default	malaria T3	40.5089601881404
311	novoSplice 0.8.4 default	human T1	97.9679710218866
312	novoSplice 0.8.4 default	human T2	97.5829180109592
313	novoSplice 0.8.4 default	human T3	94.0330531559701
314	novoSplice 0.8.4 default	malaria T1	98.5906875570429
315	novoSplice 0.8.4 default	malaria T2	98.3536521650742
316	novoSplice 0.8.4 default	malaria T3	91.8249891821722
