	Run	Dataset	Percision_Read	Recall_Read	Percision_Base	Recall_Base	Percision_Junction	Recall_Junction	Percision_Skipping	Recall_Skipping	Percision_Deletion	Recall_Deletion	Percision_Insertion	Recall_Insertion
137	DRAGEN 4.0.3 default	human T1	99.75	97.9	99.7	97.73	99.8901	92.0201	99.81	92.69	98.4	74.4701	98.2401	71.54
138	DRAGEN 4.0.3 default	human T2	99.7	97.82	99.55	97.4	99.84	91.5001	99.74	91.97	97.1	72.3301	97.18	69.3201
139	DRAGEN 4.0.3 default	human T3	99.37	96.37	98.84	90.03	99.3801	79.96	98.32	78.9101	82.88	47.38	84.09	45.9
140	DRAGEN 4.0.3 default	malaria T1	99.97	98.2	99.88	97.83	99.9801	91.38	97.73	92.55	94.2101	70.89	98.29	68.94
141	DRAGEN 4.0.3 default	malaria T2	99.96	98.07	99.56	97	99.9501	90.93	91.16	92.04	95.3	68.48	97	65.77
142	DRAGEN 4.0.3 default	malaria T3	99.81	95.2	98.35	85.62	99.02	79.97	38.0301	81.0001	78.9101	40.65	83.7601	40.77
725	DeepSAP MS150	human T1	99.48	98.03	99.45	97.83	99.8	97.91	99.6601	98.2801	97.8801	86.6701	98.31	83.2
825	DeepSAP MS150	human T2	99.42	97.95	99.3	97.6	99.7701	97.4401	99.64	97.6	96.2401	83.36	96.91	80.2101
925	DeepSAP MS150	human T3	98.4	96.24	97.71	91.25	99.3901	89.11	99.32	88.9001	78.1101	61.5501	77.9201	59.61
1025	DeepSAP MS150	malaria T1	99.95	98.49	99.85	98.08	99.8801	99.1801	99.8601	98.6	96.2501	83.46	98.43	82.1201
1125	DeepSAP MS150	malaria T2	99.94	98.48	99.57	97.71	99.8801	98.7801	99.5	98.2501	93.69	81.55	96.2	78.77
1225	DeepSAP MS150	malaria T3	99.59	97.35	97.74	90.59	99.8	91.15	94.86	90.6901	75.6	59.5	77.54	59.69
209	HISAT2 2.2.1 default	human T1	99.86	97.1	99.83	96.95	99.4901	94.8201	99.4701	95.5201	98.8	67.21	98.6701	64.5901
210	HISAT2 2.2.1 default	human T2	99.8	91.39	99.73	91.15	99.04	83.9	98.82	84.32	97.8701	41.41	97.93	40.19
211	HISAT2 2.2.1 default	human T3	99.48	22.73	99.41	22.48	92.44	5.69	79.68	5.63	95.9601	0.849999999999994	95.1501	0.880099999999999
212	HISAT2 2.2.1 default	malaria T1	99.98	97.1	99.91	96.79	97.51	94.7101	45.65	96.28	94.7501	63.44	98.3701	61.38
213	HISAT2 2.2.1 default	malaria T2	99.94	86.28	99.73	85.81	95.66	84.0301	29.5701	85.3601	96.17	39.36	97.62	39.02
214	HISAT2 2.2.1 default	malaria T3	99.89	5.88	99.6	5.81	94.07	5.73999999999999	12.21	5.7101	94.9301	0.790099999999995	96.1301	0.819999999999993
233	STAR 2.7.10a default	human T1	99.9	97.81	99.84	97.56	99.91	92.2901	99.5901	92.3301	98.1801	71.2301	98.11	61.06
234	STAR 2.7.10a default	human T2	99.85	97.36	99.57	96.53	99.7701	87.71	98.6601	88.03	95.07	61.19	95.4	51.45
235	STAR 2.7.10a default	human T3	99.55	81.26	98.89	75.75	98.9601	40.12	85.1501	39.79	82.37	15.97	83.47	13.72
236	STAR 2.7.10a default	malaria T1	99.99	97.76	99.87	97.35	99.6601	93.9301	24.81	93.4301	96.99	72.72	98.0501	65.07
237	STAR 2.7.10a default	malaria T2	99.99	96.62	99.31	95.29	98.4801	90.5801	4.83	90.16	94.1101	65.4801	95.1501	56.7101
238	STAR 2.7.10a default	malaria T3	99.88	71.24	97.62	62.78	80.6301	51.4801	0.189999999999998	51.34	77.8101	22.09	82.94	20.55
305	Subjunc 2.0.1 default	human T1	99.32	92.7	99.31	92.48	99.0501	95.21	94.3501	95.3	97.8401	81.1301	97.9401	76.4701
306	Subjunc 2.0.1 default	human T2	99.23	89.48	99.17	88.85	98.52	88.1601	92.5301	88.41	96.3601	73.57	96.82	70.04
307	Subjunc 2.0.1 default	human T3	98.32	46.14	98.12	42.1	95.77	26.17	76.4701	26.58	80.2001	12.34	82.25	12.78
308	Subjunc 2.0.1 default	malaria T1	99.56	97.7	99.59	97.34	92.68	97.5401	1.03	97.39	95.67	87.44	97.83	85.01
309	Subjunc 2.0.1 default	malaria T2	99.52	93.08	99.39	92.2	87.02	90.86	0.609999999999999	90.77	94.2	80.84	96.1301	77.35
310	Subjunc 2.0.1 default	malaria T3	93.18	25.88	93.78	22.11	46.3101	26.01	0.0700999999999965	26.3801	73.33	13.53	81.26	14.67
311	novoSplice 0.8.4 default	human T1	99.91	96.1	99.89	95.92	99.9901	90.0101	99.9801	91.15	97.9601	78.4001	97.82	76.7801
312	novoSplice 0.8.4 default	human T2	99.89	95.38	99.81	95.02	99.9701	89.12	99.9601	90.32	95.71	74.94	96.0401	74.04
313	novoSplice 0.8.4 default	human T3	99.77	88.92	99.21	84.1	99.91	74.59	99.71	75.8801	76.9701	48.86	78.62	46.59
314	novoSplice 0.8.4 default	malaria T1	99.99	97.23	99.95	96.91	100	93.3201	100	93.0201	96.6401	82.3301	97.9501	82.2201
315	novoSplice 0.8.4 default	malaria T2	99.99	96.77	99.73	96.07	99.9801	92.88	99.9901	92.59	93.6101	79.62	95.19	78.23
316	novoSplice 0.8.4 default	malaria T3	99.98	84.9	98.58	79.22	99.9601	77.85	99.8701	77.4901	73.91	48.5901	79.3101	48.68
