	Run	Dataset	Bases_Alinged_Incorrectly	Bases_Alinged_Ambiguously	Bases_Alinged_Correctly	Bases_Unalinged
137	DRAGEN 4.0.3 default	human T1	0.279328	1.735824	97.744848	0.24
138	DRAGEN 4.0.3 default	human T2	0.428151	1.722561	97.419288	0.43
139	DRAGEN 4.0.3 default	human T3	0.97587	1.710096	90.254034	7.06
140	DRAGEN 4.0.3 default	malaria T1	0.10967	1.73478	97.85555	0.3
141	DRAGEN 4.0.3 default	malaria T2	0.416976	1.826752	97.036272	0.72
142	DRAGEN 4.0.3 default	malaria T3	1.271184	2.19324	86.055576	10.48
725	DeepSAP MS150	human T1	0.529046	1.44739	97.843564	0.18
825	DeepSAP MS150	human T2	0.678436	1.466619	97.624945	0.23
925	DeepSAP MS150	human T3	2.030103	1.820421	91.459476	4.69
1025	DeepSAP MS150	malaria T1	0.139482	1.384857	98.105661	0.37
1125	DeepSAP MS150	malaria T2	0.41811	1.3937	97.73819	0.45
1225	DeepSAP MS150	malaria T3	1.971706	1.547176	90.821118	5.66
209	HISAT2 2.2.1 default	human T1	0.149115	2.276489	96.984396	0.59
210	HISAT2 2.2.1 default	human T2	0.224952	2.183909	91.321139	6.27
211	HISAT2 2.2.1 default	human T3	0.030836	0.258548	23.430616	76.28
212	HISAT2 2.2.1 default	malaria T1	0.07908	1.93746	96.83346	1.15
213	HISAT2 2.2.1 default	malaria T2	0.202239	1.653084	86.074677	12.07
214	HISAT2 2.2.1 default	malaria T3	0.001214	0.013354	6.05543199999999	93.93
233	STAR 2.7.10a default	human T1	0.139496	1.913088	97.587416	0.36
234	STAR 2.7.10a default	human T2	0.3966	2.171385	96.582015	0.85
235	STAR 2.7.10a default	human T3	0.661752	1.709526	76.408722	21.22
236	STAR 2.7.10a default	malaria T1	0.119556	2.142045	97.368399	0.37
237	STAR 2.7.10a default	malaria T2	0.644605	3.183357	95.342038	0.83
238	STAR 2.7.10a default	malaria T3	1.059744	3.76488	64.895376	30.28
305	Subjunc 2.0.1 default	human T1	0.586719	0	92.543281	6.87
306	Subjunc 2.0.1 default	human T2	0.65408	0	88.94592	10.4
307	Subjunc 2.0.1 default	human T3	0.34336	0	42.57664	57.08
308	Subjunc 2.0.1 default	malaria T1	0.381225	0	97.368775	2.25
309	Subjunc 2.0.1 default	malaria T2	0.519512	0	92.250488	7.23
310	Subjunc 2.0.1 default	malaria T3	0.344414	0	23.245586	76.41
311	novoSplice 0.8.4 default	human T1	0.08973	3.65899	95.95128	0.3
312	novoSplice 0.8.4 default	human T2	0.169303	4.352083	95.068614	0.41
313	novoSplice 0.8.4 default	human T3	0.594528	4.783248	84.702224	9.92
314	novoSplice 0.8.4 default	malaria T1	0.039872	2.701328	96.9388	0.32
315	novoSplice 0.8.4 default	malaria T2	0.24875	3.1442	96.10705	0.5
316	novoSplice 0.8.4 default	malaria T3	0.956884	3.649708	80.073408	15.32
