	Run	Dataset	Reads_Alinged_Incorrectly	Reads_Alinged_Ambiguously	Reads_Alinged_Correctly	Reads_Unalinged
137	DRAGEN 4.0.3 default	human T1	0.23976	1.73826	97.92198	0.1
138	DRAGEN 4.0.3 default	human T2	0.27958	1.727405	97.843015	0.15
139	DRAGEN 4.0.3 default	human T3	0.59298	1.818472	96.418548	1.17
140	DRAGEN 4.0.3 default	malaria T1	0.019996	1.739652	98.220352	0.02
141	DRAGEN 4.0.3 default	malaria T2	0.029988	1.839264	98.090748	0.04
142	DRAGEN 4.0.3 default	malaria T3	0.166345	2.397325	95.28633	2.15
725	DeepSAP MS150	human T1	0.5	1.45	98.05	0
825	DeepSAP MS150	human T2	0.56	1.47	97.97	0
925	DeepSAP MS150	human T3	1.545815	1.904843	96.279342	0.27
1025	DeepSAP MS150	malaria T1	0.029982	1.389166	98.520852	0.06
1125	DeepSAP MS150	malaria T2	0.049975	1.3993	98.500725	0.05
1225	DeepSAP MS150	malaria T3	0.38766	1.63016	97.38218	0.6
209	HISAT2 2.2.1 default	human T1	0.119448	2.279466	97.141086	0.46
210	HISAT2 2.2.1 default	human T2	0.159647	2.188103	91.56225	6.09
211	HISAT2 2.2.1 default	human T3	0.026356	0.261164	23.67248	76.04
212	HISAT2 2.2.1 default	malaria T1	0.009909	1.942164	97.137927	0.91
213	HISAT2 2.2.1 default	malaria T2	0.035292	1.658724	86.535984	11.77
214	HISAT2 2.2.1 default	malaria T3	0	0.013442	6.096558	93.89
233	STAR 2.7.10a default	human T1	0.089847	1.916736	97.823417	0.17
234	STAR 2.7.10a default	human T2	0.139594	2.183649	97.386757	0.29
235	STAR 2.7.10a default	human T3	0.301716	1.818677	81.689607	16.19
236	STAR 2.7.10a default	malaria T1	0	2.14828	97.77172	0.08
237	STAR 2.7.10a default	malaria T2	0	3.205185	96.644815	0.15
238	STAR 2.7.10a default	malaria T3	0.061392	4.14396	72.534648	23.26
305	Subjunc 2.0.1 default	human T1	0.588042	0	92.751958	6.66
306	Subjunc 2.0.1 default	human T2	0.613224	0	89.566776	9.82
307	Subjunc 2.0.1 default	human T3	0.366054	0	46.563946	53.07
308	Subjunc 2.0.1 default	malaria T1	0.412146	0	97.717854	1.87
309	Subjunc 2.0.1 default	malaria T2	0.411532	0	93.118468	6.47
310	Subjunc 2.0.1 default	malaria T3	0.525042	0	27.254958	72.22
311	novoSplice 0.8.4 default	human T1	0.079896	3.665229	96.124875	0.13
312	novoSplice 0.8.4 default	human T2	0.09986	4.363882	95.396258	0.14
313	novoSplice 0.8.4 default	human T3	0.179436	5.014764	89.2458	5.56
314	novoSplice 0.8.4 default	malaria T1	0	2.708645	97.241355	0.05
315	novoSplice 0.8.4 default	malaria T2	0	3.15842	96.79158	0.05
316	novoSplice 0.8.4 default	malaria T3	0.008923	3.845813	85.375264	10.77
