	Run	Dataset	RAM
137	DRAGEN 4.0.3 default	human T1	43.215160369873
138	DRAGEN 4.0.3 default	human T2	42.9014701843262
139	DRAGEN 4.0.3 default	human T3	38.7330322265625
140	DRAGEN 4.0.3 default	malaria T1	7.764892578125
141	DRAGEN 4.0.3 default	malaria T2	7.31497573852539
142	DRAGEN 4.0.3 default	malaria T3	7.38848495483398
725	DeepSAP MS150	human T1	31.9338264465332
825	DeepSAP MS150	human T2	32.2674827575684
925	DeepSAP MS150	human T3	32.8902244567871
1025	DeepSAP MS150	malaria T1	4.66233062744141
1125	DeepSAP MS150	malaria T2	4.7701530456543
1225	DeepSAP MS150	malaria T3	4.81535339355469
209	HISAT2 2.2.1 default	human T1	5.64521408081055
210	HISAT2 2.2.1 default	human T2	5.73149871826172
211	HISAT2 2.2.1 default	human T3	5.64650726318359
212	HISAT2 2.2.1 default	malaria T1	0.18536376953125
213	HISAT2 2.2.1 default	malaria T2	0.217849731445312
214	HISAT2 2.2.1 default	malaria T3	0.1590576171875
233	STAR 2.7.10a default	human T1	30.172233581543
234	STAR 2.7.10a default	human T2	30.1796379089355
235	STAR 2.7.10a default	human T3	30.1461868286133
236	STAR 2.7.10a default	malaria T1	3.66612243652344
237	STAR 2.7.10a default	malaria T2	3.66790771484375
238	STAR 2.7.10a default	malaria T3	3.67402267456055
305	Subjunc 2.0.1 default	human T1	8.44694137573242
306	Subjunc 2.0.1 default	human T2	8.51670074462891
307	Subjunc 2.0.1 default	human T3	8.54164886474609
308	Subjunc 2.0.1 default	malaria T1	2.81057739257812
309	Subjunc 2.0.1 default	malaria T2	2.93874359130859
310	Subjunc 2.0.1 default	malaria T3	3.06135559082031
311	novoSplice 0.8.4 default	human T1	29.9460525512695
312	novoSplice 0.8.4 default	human T2	29.9480972290039
313	novoSplice 0.8.4 default	human T3	29.9450187683105
314	novoSplice 0.8.4 default	malaria T1	1.26133728027344
315	novoSplice 0.8.4 default	malaria T2	1.266845703125
316	novoSplice 0.8.4 default	malaria T3	1.28093338012695
