	Run	Dataset	Mapping_Precision	Mapping_Recall	Splice_Precision	Splice_Recall
317	DRAGEN 4.0.3 default	human T1	92.8793401632827	90.4116706514794	98.8073930995375	97.8313506684914
318	DRAGEN 4.0.3 default	human T2	92.8666651039813	90.3381867411748	98.6955378276497	97.8140367339137
319	DRAGEN 4.0.3 default	human T3	92.9046302643875	90.0164076530246	98.3734237575501	97.7416298168035
320	DRAGEN 4.0.3 default	malaria T1	92.8533161531867	90.8683242947468	95.4087979192582	98.8865447726207
321	DRAGEN 4.0.3 default	malaria T2	93.1522501799483	90.391468950328	95.3954184413491	97.0602014523308
322	DRAGEN 4.0.3 default	malaria T3	93.5501172726853	89.506581335394	90.4152993097205	93.5925969310062
3127	DeepSAP MS150	human T1	92.8498450599117	91.1196323772783	98.5378790522386	99.0911323999017
3225	DeepSAP MS150	human T2	92.8726174191326	91.1816434113861	98.3794616633841	98.9487219586787
3325	DeepSAP MS150	human T3	92.8524463235262	91.2653073592329	98.0277231855575	98.9032778830631
3425	DeepSAP MS150	malaria T1	92.7439575555319	91.1243723046361	98.2884237307737	99.6132208157525
3525	DeepSAP MS150	malaria T2	92.8737984896063	91.0892895572013	96.2569316081331	97.5872569688452
3625	DeepSAP MS150	malaria T3	93.1599475381152	90.9318573751014	94.1710296684119	94.8108234742884
389	HISAT2 2.2.1 default	human T1	92.7338359561223	87.8608555397896	93.7145612663995	98.8858476330842
390	HISAT2 2.2.1 default	human T2	92.7456797307555	85.8185059021865	92.9481816839723	98.4621800552573
391	HISAT2 2.2.1 default	human T3	92.6825439721442	81.6614001237249	91.5180477551154	97.7907629676423
392	HISAT2 2.2.1 default	malaria T1	92.785342122108	87.7523293614084	87.1771217712177	99.6835443037975
393	HISAT2 2.2.1 default	malaria T2	92.5204451053874	69.8118911407453	67.003504196887	96.2988990395877
394	HISAT2 2.2.1 default	malaria T3	91.6690007697758	33.5444766359944	69.434247462751	75.3309124985358
413	STAR 2.7.10a default	human T1	92.9062534437685	89.7821952368239	98.3291371023117	97.9892620275818
414	STAR 2.7.10a default	human T2	92.931813912183	89.396106106045	97.7707946318512	97.8557403256356
415	STAR 2.7.10a default	human T3	92.9311267937682	88.57732537755	97.3223823616973	97.518775882642
416	STAR 2.7.10a default	malaria T1	92.911723134987	89.9340348008499	76.3729822346469	99.2616033755274
417	STAR 2.7.10a default	malaria T2	93.0105842847182	85.2081751642625	45.4712892741062	98.3134223471539
418	STAR 2.7.10a default	malaria T3	93.1136408507933	70.5264028372828	31.3336598106432	89.9379173011597
485	Subjunc 2.0.1 default	human T1	92.0569323724076	86.8624774635592	94.6009822491158	99.0244587149524
486	Subjunc 2.0.1 default	human T2	92.0102236619211	86.3422835135714	92.985440863733	98.7714816938609
487	Subjunc 2.0.1 default	human T3	91.7426559305812	84.0009832391329	91.2028900605351	98.3470204253527
488	Subjunc 2.0.1 default	malaria T1	90.9489745678227	86.752771649334	35.2914370935001	99.8476324425692
489	Subjunc 2.0.1 default	malaria T2	91.6169196493688	86.1156339576362	22.0087542264042	98.3485593815882
490	Subjunc 2.0.1 default	malaria T3	89.476734391229	65.9072287395278	18.034190011335	91.3201358791144
491	novoSplice 0.8.4 default	human T1	92.9058866045147	90.7720037158254	99.3599858168602	98.3331578762677
492	novoSplice 0.8.4 default	human T2	92.9397341417109	90.2924025793945	99.2165317068041	98.3631340249179
493	novoSplice 0.8.4 default	human T3	92.9550326445873	90.2945537232382	98.7479557564141	98.5382887625465
494	novoSplice 0.8.4 default	malaria T1	92.8973494695871	90.5360933646512	99.5893464742462	99.4842944210033
495	novoSplice 0.8.4 default	malaria T2	93.2110370218563	90.2833923075631	95.0841750841751	99.2269852424455
496	novoSplice 0.8.4 default	malaria T3	93.6105451461611	88.4886377294698	86.3087248322148	97.9149584163055
