	Run	Dataset	F1_Junction
137	DRAGEN 4.0.3 default	human T1	95.7937305157308
138	DRAGEN 4.0.3 default	human T2	95.4882952815432
139	DRAGEN 4.0.3 default	human T3	88.6185833062433
725	DeepSAP MS150	human T1	98.8459663142987
825	DeepSAP MS150	human T2	98.5913357525118
925	DeepSAP MS150	human T3	93.9697306367477
209	HISAT2 2.2.1 default	human T1	97.0989812270277
210	HISAT2 2.2.1 default	human T2	90.8435115338362
211	HISAT2 2.2.1 default	human T3	10.7201385916641
233	STAR 2.7.10a default	human T1	95.9490020140468
234	STAR 2.7.10a default	human T2	93.3521527991504
235	STAR 2.7.10a default	human T3	57.093419000993
305	Subjunc 2.0.1 default	human T1	97.0920947842609
306	Subjunc 2.0.1 default	human T2	93.0525862370976
307	Subjunc 2.0.1 default	human T3	41.1071166147286
311	novoSplice 0.8.4 default	human T1	94.7379939601116
312	novoSplice 0.8.4 default	human T2	94.2337574732892
313	novoSplice 0.8.4 default	human T3	85.4130303724928
