	Run	Dataset	F1_Read
137	DRAGEN 4.0.3 default	human T1	98.81634201872
138	DRAGEN 4.0.3 default	human T2	98.7510530579182
139	DRAGEN 4.0.3 default	human T3	97.847010319812
725	DeepSAP MS150	human T1	98.7496774846843
825	DeepSAP MS150	human T2	98.6795257637939
925	DeepSAP MS150	human T3	97.3080147965475
209	HISAT2 2.2.1 default	human T1	98.4606620633631
210	HISAT2 2.2.1 default	human T2	95.4100319054344
211	HISAT2 2.2.1 default	human T3	37.004834301612
233	STAR 2.7.10a default	human T1	98.8439532648829
234	STAR 2.7.10a default	human T2	98.5892804624512
235	STAR 2.7.10a default	human T3	89.4799292074553
305	Subjunc 2.0.1 default	human T1	95.8958858452245
306	Subjunc 2.0.1 default	human T2	94.1031254305548
307	Subjunc 2.0.1 default	human T3	62.8061027273986
311	novoSplice 0.8.4 default	human T1	97.9679710218866
312	novoSplice 0.8.4 default	human T2	97.5829180109592
313	novoSplice 0.8.4 default	human T3	94.0330531559701
