	Run	Dataset	Percision_Read	Recall_Read	Percision_Base	Recall_Base	Percision_Junction	Recall_Junction	Percision_Skipping	Recall_Skipping	Percision_Deletion	Recall_Deletion	Percision_Insertion	Recall_Insertion
137	DRAGEN 4.0.3 default	human T1	99.75	97.9	99.7	97.73	99.8901	92.0201	99.81	92.69	98.4	74.4701	98.2401	71.54
138	DRAGEN 4.0.3 default	human T2	99.7	97.82	99.55	97.4	99.84	91.5001	99.74	91.97	97.1	72.3301	97.18	69.3201
139	DRAGEN 4.0.3 default	human T3	99.37	96.37	98.84	90.03	99.3801	79.96	98.32	78.9101	82.88	47.38	84.09	45.9
725	DeepSAP MS150	human T1	99.48	98.03	99.45	97.83	99.8	97.91	99.6601	98.2801	97.8801	86.6701	98.31	83.2
825	DeepSAP MS150	human T2	99.42	97.95	99.3	97.6	99.7701	97.4401	99.64	97.6	96.2401	83.36	96.91	80.2101
925	DeepSAP MS150	human T3	98.4	96.24	97.71	91.25	99.3901	89.11	99.32	88.9001	78.1101	61.5501	77.9201	59.61
209	HISAT2 2.2.1 default	human T1	99.86	97.1	99.83	96.95	99.4901	94.8201	99.4701	95.5201	98.8	67.21	98.6701	64.5901
210	HISAT2 2.2.1 default	human T2	99.8	91.39	99.73	91.15	99.04	83.9	98.82	84.32	97.8701	41.41	97.93	40.19
211	HISAT2 2.2.1 default	human T3	99.48	22.73	99.41	22.48	92.44	5.69	79.68	5.63	95.9601	0.849999999999994	95.1501	0.880099999999999
233	STAR 2.7.10a default	human T1	99.9	97.81	99.84	97.56	99.91	92.2901	99.5901	92.3301	98.1801	71.2301	98.11	61.06
234	STAR 2.7.10a default	human T2	99.85	97.36	99.57	96.53	99.7701	87.71	98.6601	88.03	95.07	61.19	95.4	51.45
235	STAR 2.7.10a default	human T3	99.55	81.26	98.89	75.75	98.9601	40.12	85.1501	39.79	82.37	15.97	83.47	13.72
305	Subjunc 2.0.1 default	human T1	99.32	92.7	99.31	92.48	99.0501	95.21	94.3501	95.3	97.8401	81.1301	97.9401	76.4701
306	Subjunc 2.0.1 default	human T2	99.23	89.48	99.17	88.85	98.52	88.1601	92.5301	88.41	96.3601	73.57	96.82	70.04
307	Subjunc 2.0.1 default	human T3	98.32	46.14	98.12	42.1	95.77	26.17	76.4701	26.58	80.2001	12.34	82.25	12.78
311	novoSplice 0.8.4 default	human T1	99.91	96.1	99.89	95.92	99.9901	90.0101	99.9801	91.15	97.9601	78.4001	97.82	76.7801
312	novoSplice 0.8.4 default	human T2	99.89	95.38	99.81	95.02	99.9701	89.12	99.9601	90.32	95.71	74.94	96.0401	74.04
313	novoSplice 0.8.4 default	human T3	99.77	88.92	99.21	84.1	99.91	74.59	99.71	75.8801	76.9701	48.86	78.62	46.59
