	Run	Dataset	IO_out
137	DRAGEN 4.0.3 default	human T1	2.0927734375
138	DRAGEN 4.0.3 default	human T2	2.81870269775391
139	DRAGEN 4.0.3 default	human T3	8.88101196289062
725	DeepSAP MS150	human T1	6.78199768066406
825	DeepSAP MS150	human T2	7.14022827148438
925	DeepSAP MS150	human T3	7.85695648193359
209	HISAT2 2.2.1 default	human T1	13.089729309082
210	HISAT2 2.2.1 default	human T2	12.9524917602539
211	HISAT2 2.2.1 default	human T3	10.0268936157227
233	STAR 2.7.10a default	human T1	7.27928161621094
234	STAR 2.7.10a default	human T2	7.30255889892578
235	STAR 2.7.10a default	human T3	6.19538116455078
305	Subjunc 2.0.1 default	human T1	10.3124389648438
306	Subjunc 2.0.1 default	human T2	10.2869720458984
307	Subjunc 2.0.1 default	human T3	9.61345672607422
311	novoSplice 0.8.4 default	human T1	12.9407653808594
312	novoSplice 0.8.4 default	human T2	13.1302337646484
313	novoSplice 0.8.4 default	human T3	13.4325180053711
