	Run	Dataset	F1_splice
317	DRAGEN 4.0.3 default	human T1	98.3169495261186
318	DRAGEN 4.0.3 default	human T2	98.2528101654681
319	DRAGEN 4.0.3 default	human T3	98.0565091101135
3127	DeepSAP MS150	human T1	98.8137313223921
3225	DeepSAP MS150	human T2	98.6632706985125
3325	DeepSAP MS150	human T3	98.4635541774031
389	HISAT2 2.2.1 default	human T1	96.2307803949357
390	HISAT2 2.2.1 default	human T2	95.6257594167679
391	HISAT2 2.2.1 default	human T3	94.5504826860759
413	STAR 2.7.10a default	human T1	98.158905361584
414	STAR 2.7.10a default	human T2	97.8132490360232
415	STAR 2.7.10a default	human T3	97.4204801430437
485	Subjunc 2.0.1 default	human T1	96.7621921425081
486	Subjunc 2.0.1 default	human T2	95.7911677718889
487	Subjunc 2.0.1 default	human T3	94.6403242147923
491	novoSplice 0.8.4 default	human T1	98.8439051490754
492	novoSplice 0.8.4 default	human T2	98.7879898431978
493	novoSplice 0.8.4 default	human T3	98.6430108471301
