	Run	Dataset	Mapping_Precision	Mapping_Recall	Splice_Precision	Splice_Recall
317	DRAGEN 4.0.3 default	human T1	92.8793401632827	90.4116706514794	98.8073930995375	97.8313506684914
318	DRAGEN 4.0.3 default	human T2	92.8666651039813	90.3381867411748	98.6955378276497	97.8140367339137
319	DRAGEN 4.0.3 default	human T3	92.9046302643875	90.0164076530246	98.3734237575501	97.7416298168035
3127	DeepSAP MS150	human T1	92.8498450599117	91.1196323772783	98.5378790522386	99.0911323999017
3225	DeepSAP MS150	human T2	92.8726174191326	91.1816434113861	98.3794616633841	98.9487219586787
3325	DeepSAP MS150	human T3	92.8524463235262	91.2653073592329	98.0277231855575	98.9032778830631
389	HISAT2 2.2.1 default	human T1	92.7338359561223	87.8608555397896	93.7145612663995	98.8858476330842
390	HISAT2 2.2.1 default	human T2	92.7456797307555	85.8185059021865	92.9481816839723	98.4621800552573
391	HISAT2 2.2.1 default	human T3	92.6825439721442	81.6614001237249	91.5180477551154	97.7907629676423
413	STAR 2.7.10a default	human T1	92.9062534437685	89.7821952368239	98.3291371023117	97.9892620275818
414	STAR 2.7.10a default	human T2	92.931813912183	89.396106106045	97.7707946318512	97.8557403256356
415	STAR 2.7.10a default	human T3	92.9311267937682	88.57732537755	97.3223823616973	97.518775882642
485	Subjunc 2.0.1 default	human T1	92.0569323724076	86.8624774635592	94.6009822491158	99.0244587149524
486	Subjunc 2.0.1 default	human T2	92.0102236619211	86.3422835135714	92.985440863733	98.7714816938609
487	Subjunc 2.0.1 default	human T3	91.7426559305812	84.0009832391329	91.2028900605351	98.3470204253527
491	novoSplice 0.8.4 default	human T1	92.9058866045147	90.7720037158254	99.3599858168602	98.3331578762677
492	novoSplice 0.8.4 default	human T2	92.9397341417109	90.2924025793945	99.2165317068041	98.3631340249179
493	novoSplice 0.8.4 default	human T3	92.9550326445873	90.2945537232382	98.7479557564141	98.5382887625465
