	Run	Dataset	CPU
140	DRAGEN 4.0.3 default	malaria T1	431
141	DRAGEN 4.0.3 default	malaria T2	417
142	DRAGEN 4.0.3 default	malaria T3	407
1025	DeepSAP MS150	malaria T1	181
1125	DeepSAP MS150	malaria T2	190
1225	DeepSAP MS150	malaria T3	187
212	HISAT2 2.2.1 default	malaria T1	2074
213	HISAT2 2.2.1 default	malaria T2	2084
214	HISAT2 2.2.1 default	malaria T3	2081
236	STAR 2.7.10a default	malaria T1	1916
237	STAR 2.7.10a default	malaria T2	1962
238	STAR 2.7.10a default	malaria T3	1983
308	Subjunc 2.0.1 default	malaria T1	792
309	Subjunc 2.0.1 default	malaria T2	804
310	Subjunc 2.0.1 default	malaria T3	870
314	novoSplice 0.8.4 default	malaria T1	2113
315	novoSplice 0.8.4 default	malaria T2	2115
316	novoSplice 0.8.4 default	malaria T3	2118
