	Run	Dataset	Mapping_Precision	Mapping_Recall	Splice_Precision	Splice_Recall
320	DRAGEN 4.0.3 default	malaria T1	92.8533161531867	90.8683242947468	95.4087979192582	98.8865447726207
321	DRAGEN 4.0.3 default	malaria T2	93.1522501799483	90.391468950328	95.3954184413491	97.0602014523308
322	DRAGEN 4.0.3 default	malaria T3	93.5501172726853	89.506581335394	90.4152993097205	93.5925969310062
3425	DeepSAP MS150	malaria T1	92.7439575555319	91.1243723046361	98.2884237307737	99.6132208157525
3525	DeepSAP MS150	malaria T2	92.8737984896063	91.0892895572013	96.2569316081331	97.5872569688452
3625	DeepSAP MS150	malaria T3	93.1599475381152	90.9318573751014	94.1710296684119	94.8108234742884
392	HISAT2 2.2.1 default	malaria T1	92.785342122108	87.7523293614084	87.1771217712177	99.6835443037975
393	HISAT2 2.2.1 default	malaria T2	92.5204451053874	69.8118911407453	67.003504196887	96.2988990395877
394	HISAT2 2.2.1 default	malaria T3	91.6690007697758	33.5444766359944	69.434247462751	75.3309124985358
416	STAR 2.7.10a default	malaria T1	92.911723134987	89.9340348008499	76.3729822346469	99.2616033755274
417	STAR 2.7.10a default	malaria T2	93.0105842847182	85.2081751642625	45.4712892741062	98.3134223471539
418	STAR 2.7.10a default	malaria T3	93.1136408507933	70.5264028372828	31.3336598106432	89.9379173011597
488	Subjunc 2.0.1 default	malaria T1	90.9489745678227	86.752771649334	35.2914370935001	99.8476324425692
489	Subjunc 2.0.1 default	malaria T2	91.6169196493688	86.1156339576362	22.0087542264042	98.3485593815882
490	Subjunc 2.0.1 default	malaria T3	89.476734391229	65.9072287395278	18.034190011335	91.3201358791144
494	novoSplice 0.8.4 default	malaria T1	92.8973494695871	90.5360933646512	99.5893464742462	99.4842944210033
495	novoSplice 0.8.4 default	malaria T2	93.2110370218563	90.2833923075631	95.0841750841751	99.2269852424455
496	novoSplice 0.8.4 default	malaria T3	93.6105451461611	88.4886377294698	86.3087248322148	97.9149584163055
