	Run	Dataset	TP_mapping	AM_mapping	FN_mapping	FP_mapping
320	DRAGEN 4.0.3 default	malaria T1	18174161	0	1826385	1398819
321	DRAGEN 4.0.3 default	malaria T2	18078019	0	1921677	1328940
322	DRAGEN 4.0.3 default	malaria T3	17902308	0	2098800	1234288
3425	DeepSAP MS150	malaria T1	18225372	0	1775174	1425905
3525	DeepSAP MS150	malaria T2	18217581	0	1782115	1397834
3625	DeepSAP MS150	malaria T3	18187379	0	1813729	1335366
392	HISAT2 2.2.1 default	malaria T1	17550945	0	2449601	1364699
393	HISAT2 2.2.1 default	malaria T2	13962166	0	6037530	1128732
394	HISAT2 2.2.1 default	malaria T3	6709267	0	13291841	609747
416	STAR 2.7.10a default	malaria T1	17987298	0	2013248	1372259
417	STAR 2.7.10a default	malaria T2	17041376	0	2958320	1280599
418	STAR 2.7.10a default	malaria T3	14106062	0	5895046	1043235
488	Subjunc 2.0.1 default	malaria T1	17351028	0	2649518	1726733
489	Subjunc 2.0.1 default	malaria T2	17222865	0	2776831	1575917
490	Subjunc 2.0.1 default	malaria T3	13182176	0	6818932	1550342
494	novoSplice 0.8.4 default	malaria T1	18107713	0	1892833	1384461
495	novoSplice 0.8.4 default	malaria T2	18056404	0	1943292	1315126
496	novoSplice 0.8.4 default	malaria T3	17698708	0	2302400	1208038
