	Run	Dataset	TP_splice	AM_splice	FN_splice	FP_splice
320	DRAGEN 4.0.3 default	malaria T1	8437	0	95	406
321	DRAGEN 4.0.3 default	malaria T2	8287	0	251	400
322	DRAGEN 4.0.3 default	malaria T3	7990	0	547	847
3425	DeepSAP MS150	malaria T1	8499	0	33	148
3525	DeepSAP MS150	malaria T2	8332	0	206	324
3625	DeepSAP MS150	malaria T3	8094	0	443	501
392	HISAT2 2.2.1 default	malaria T1	8505	0	27	1251
393	HISAT2 2.2.1 default	malaria T2	8222	0	316	4049
394	HISAT2 2.2.1 default	malaria T3	6431	0	2106	2831
416	STAR 2.7.10a default	malaria T1	8469	0	63	2620
417	STAR 2.7.10a default	malaria T2	8394	0	144	10066
418	STAR 2.7.10a default	malaria T3	7678	0	859	16826
488	Subjunc 2.0.1 default	malaria T1	8519	0	13	15620
489	Subjunc 2.0.1 default	malaria T2	8397	0	141	29756
490	Subjunc 2.0.1 default	malaria T3	7796	0	741	35433
494	novoSplice 0.8.4 default	malaria T1	8488	0	44	35
495	novoSplice 0.8.4 default	malaria T2	8472	0	66	438
496	novoSplice 0.8.4 default	malaria T3	8359	0	178	1326
