,sample_id,aligner_name,metric,value
0,baruzzo_human_t1r1,DeepSAP,insertions TP,290243
1,baruzzo_human_t1r1,DeepSAP,insertions FN,58572
2,baruzzo_human_t1r1,DeepSAP,insertions FP,4960
3,baruzzo_human_t1r1,DeepSAP,deletions TP,299920
4,baruzzo_human_t1r1,DeepSAP,deletions FN,46124
5,baruzzo_human_t1r1,DeepSAP,deletions FP,6477
6,baruzzo_human_t1r1,DRAGEN,insertions TP,249544
7,baruzzo_human_t1r1,DRAGEN,insertions FN,99271
8,baruzzo_human_t1r1,DRAGEN,insertions FP,4456
9,baruzzo_human_t1r1,DRAGEN,deletions TP,257702
10,baruzzo_human_t1r1,DRAGEN,deletions FN,88342
11,baruzzo_human_t1r1,DRAGEN,deletions FP,4181
12,baruzzo_human_t1r1,novoSplice,insertions TP,267848
13,baruzzo_human_t1r1,novoSplice,insertions FN,80967
14,baruzzo_human_t1r1,novoSplice,insertions FP,5969
15,baruzzo_human_t1r1,novoSplice,deletions TP,271328
16,baruzzo_human_t1r1,novoSplice,deletions FN,74716
17,baruzzo_human_t1r1,novoSplice,deletions FP,5650
18,baruzzo_human_t1r1,STAR,insertions TP,212995
19,baruzzo_human_t1r1,STAR,insertions FN,135820
20,baruzzo_human_t1r1,STAR,insertions FP,4100
21,baruzzo_human_t1r1,STAR,deletions TP,246495
22,baruzzo_human_t1r1,STAR,deletions FN,99549
23,baruzzo_human_t1r1,STAR,deletions FP,4552
24,baruzzo_human_t1r1,HISAT2,insertions TP,225318
25,baruzzo_human_t1r1,HISAT2,insertions FN,123497
26,baruzzo_human_t1r1,HISAT2,insertions FP,3017
27,baruzzo_human_t1r1,HISAT2,deletions TP,232587
28,baruzzo_human_t1r1,HISAT2,deletions FN,113457
29,baruzzo_human_t1r1,HISAT2,deletions FP,2816
30,baruzzo_human_t1r1,Subjunc,insertions TP,266747
31,baruzzo_human_t1r1,Subjunc,insertions FN,82068
32,baruzzo_human_t1r1,Subjunc,insertions FP,5606
33,baruzzo_human_t1r1,Subjunc,deletions TP,280762
34,baruzzo_human_t1r1,Subjunc,deletions FN,65282
35,baruzzo_human_t1r1,Subjunc,deletions FP,6197
36,baruzzo_human_t2r1,DeepSAP,insertions TP,1140928
37,baruzzo_human_t2r1,DeepSAP,insertions FN,281399
38,baruzzo_human_t2r1,DeepSAP,insertions FP,36337
39,baruzzo_human_t2r1,DeepSAP,deletions TP,1134478
40,baruzzo_human_t2r1,DeepSAP,deletions FN,226330
41,baruzzo_human_t2r1,DeepSAP,deletions FP,44320
42,baruzzo_human_t2r1,DRAGEN,insertions TP,986058
43,baruzzo_human_t2r1,DRAGEN,insertions FN,436269
44,baruzzo_human_t2r1,DRAGEN,insertions FP,28597
45,baruzzo_human_t2r1,DRAGEN,deletions TP,984357
46,baruzzo_human_t2r1,DRAGEN,deletions FN,376451
47,baruzzo_human_t2r1,DRAGEN,deletions FP,29388
48,baruzzo_human_t2r1,novoSplice,insertions TP,1053179
49,baruzzo_human_t2r1,novoSplice,insertions FN,369148
50,baruzzo_human_t2r1,novoSplice,insertions FP,43345
51,baruzzo_human_t2r1,novoSplice,deletions TP,1019797
52,baruzzo_human_t2r1,novoSplice,deletions FN,341011
53,baruzzo_human_t2r1,novoSplice,deletions FP,45656
54,baruzzo_human_t2r1,STAR,insertions TP,731828
55,baruzzo_human_t2r1,STAR,insertions FN,690499
56,baruzzo_human_t2r1,STAR,insertions FP,35252
57,baruzzo_human_t2r1,STAR,deletions TP,832691
58,baruzzo_human_t2r1,STAR,deletions FN,528117
