Geneid,Chr,Start,End,Strand,Length,Ground Truth,DeepSAP,DRAGEN,novoSplice,STAR,HISAT2,Subjunc,HISAT2+EASTR,STAR+EASTR
GENE.10,chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1,66999823;67091530;67098753;67108493;67109227;67126196;67133213;67136678;67137627;67138964;67142687;67145361;67154831;67155873;67161117;67184977;67194947;67199431;67205018;67206341;67206955;67208756,67000051;67091593;67098777;67108547;67109402;67126207;67133224;67136702;67137678;67139049;67142779;67145435;67154958;67155999;67161176;67185088;67195102;67199563;67205220;67206405;67207119;67208882,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,2180,959,954,931,963,660,66,289,66,660
GENE.100001,chr7;chr7;chr7;chr7;chr7;chr7;chr7,73442457;73449694;73450885;73452037;73455546;73456944;73457314,73442599;73449744;73450914;73452069;73455581;73457036;73457556,+;+;+;+;+;+;+,629,139,146,138,180,93,18,53,18,93
GENE.100002,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,73442459;73449694;73452037;73455546;73456944;73457314;73457433;73458209;73459552;73460518;73461026;73462005;73462472;73462833;73466080;73466254;73467493;73469046;73470601;73471002;73474216;73474470;73474706;73475431;73477483;73477640;73477951;73480024;73480274;73481062;73482987,73442599;73449744;73452069;73455581;73457036;73457364;73457498;73458250;73459623;73460547;73461097;73462046;73462531;73462886;73466169;73466313;73467639;73469099;73470765;73471043;73474377;73474514;73474831;73475469;73477554;73477699;73478025;73480062;73480327;73481106;73484007,+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+,3139,478,484,468,511,337,30,152,30,337
GENE.100003,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,73442468;73449694;73450885;73452037;73455546;73456944;73457314;73457448;73458209,73442599;73449744;73450914;73452069;73455581;73457036;73457364;73457498;73458301,+;+;+;+;+;+;+;+;+,570,146,151,144,188,96,17,52,17,96
GENE.100009,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,73442504;73449694;73450885;73452037;73456944;73457314;73457448;73458209;73459552,73442599;73449744;73450914;73452069;73457036;73457364;73457498;73458250;73459645,+;+;+;+;+;+;+;+;+,541,152,159,151,195,105,17,56,17,105
GENE.100014,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,73442505;73449694;73450885;73452037;73455546;73456944;73457314;73458209,73442599;73449744;73450914;73452069;73455581;73457036;73457498;73458222,+;+;+;+;+;+;+;+,537,137,144,136,178,93,17,51,17,93
GENE.100022,chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7,73442510;73449694;73450885;73452037;73455546;73456944;73457314;73457448;73458209;73459552,73442599;73449744;73450914;73452069;73455581;73457036;73457364;73457498;73458250;73459655,+;+;+;+;+;+;+;+;+;+,581,152,159,151,195,105,17,56,17,105
GENE.100031,chr7;chr7;chr7;chr7,73467181;73469046;73470601;73471002,73467639;73469099;73470765;73471023,+;+;+;+,700,82,82,80,84,69,6,24,6,69
GENE.100044,chr7;chr7;chr7,73588690;73601941;73604003,73588772;73602128;73604303,+;+;+,572,278,259,244,230,130,3,47,3,130
GENE.10006,chr1;chr1;chr1,40777918;40778246;40780096,40778151;40778281;40780606,-;-;-,781,70,68,59,65,40,9,17,9,40
