Geneid,Chr,Start,End,Strand,Length,Ground Truth,DeepSAP,DRAGEN,novoSplice,STAR,HISAT2,Subjunc,HISAT2+EASTR,STAR+EASTR
GENE.1,chrM,3,33,+,31,0,0,0,0,0,0,0,0,0
GENE.10,chrM,625,724,-,100,0,0,0,0,0,0,0,0,0
GENE.100,chr1;chr1,42367;43775,43617;46507,-;-,3984,2952,4291,3649,4528,3573,329,654,329,3573
GENE.1000,chr4;chr4;chr4;chr4;chr4;chr4;chr4,1129660;1130046;1130108;1130450;1130571;1130824;1130843,1130043;1130106;1130448;1130569;1130732;1130841;1130893,-;-;-;-;-;-;-,1137,146,143,131,114,91,6,53,6,90
GENE.1001,chr4;chr4,1134415;1135098,1134954;1135175,-;-,618,517,510,493,497,404,38,153,38,404
GENE.1002,chr4;chr4,1136586;1136759,1136651;1137385,+;+,693,0,0,0,0,9,0,9,0,9
GENE.1003,chr4;chr4;chr4,1141222;1141490;1141563,1141314;1141561;1142096,+;+;+,699,0,0,0,0,14,0,5,0,14
GENE.1004,chr4;chr4,1143992;1144267,1144129;1144824,+;+,696,42,42,45,36,41,2,8,2,41
GENE.1005,chr4;chr4,1146672;1147650,1147538;1147697,-;-,915,1554,1535,1517,1434,1326,123,371,123,1326
GENE.1006,chr4,1149274,1150188,+,915,0,236,72,226,133,0,22,0,130
GENE.1007,chr4;chr4,1152504;1153580,1153424;1153633,-;-,975,478,481,479,475,525,69,223,69,525
GENE.1008,chr4;chr4,1156423;1166601,1165863;1167821,+;+,10662,0,17,49,0,195,3,124,3,189
GENE.1009,chr4;chr4,1169980;1170264,1170033;1171184,+;+,975,970,977,971,943,895,56,227,56,895
GENE.101,chr1;chr1,50363;50572,50416;51636,+;+,1119,1127,1129,1125,1027,1012,51,276,51,1011
GENE.1010,chr4;chr4,1173053;1175160,1174435;1180226,-;-,6450,0,73,64,264,330,28,204,28,325
GENE.1011,chr5;chr5,20929;27215,26310;28456,+;+,6624,8118,15494,11498,14092,13328,718,1190,718,13328
GENE.1012,chr5,29233,29304,-,72,0,0,0,0,1,0,0,0,1
GENE.1013,chr5;chr5,29776;30910,30744;30963,-;-,1023,445,447,445,435,448,22,160,22,448
GENE.1014,chr5;chr5,33056;34325,34126;34378,-;-,1125,1675,1664,1651,1543,1391,75,554,75,1391
GENE.1015,chr5;chr5,36464;37496,37324;37564,-;-,930,1046,1000,1004,752,703,39,164,39,703
GENE.1016,chr5;chr5;chr5,39443;40077;40420,40075;40298;40488,-;-;-,924,336,345,337,276,277,11,95,11,277
GENE.1017,chr5,41129,41403,-,275,0,0,0,0,9,0,0,0,9
GENE.1018,chr5;chr5,43327;47612,47481;47761,-;-,4305,13656,16130,14829,21616,14471,1146,3411,1112,14269
GENE.1019,chr5;chr5;chr5,50422;50695;52325,50514;52218;52510,-;-;-,1803,1739,1724,1695,1469,1333,99,420,99,1333
GENE.102,chr1,53169,53280,-,112,0,0,0,0,0,0,0,0,0
GENE.1020,chr5;chr5,55841;56288,56038;56872,+;+,783,1381,1379,1375,1433,1367,188,514,188,1367
GENE.1021,chr5;chr5;chr5;chr5,58037;58750;59367;59619,58608;59149;59495;59726,-;-;-;-,1209,7259,7227,7172,6702,6162,458,2173,458,6162
GENE.1022,chr5;chr5;chr5;chr5,58037;58786;59367;59619,58608;59149;59495;59726,-;-;-;-,1173,7251,7219,7164,6693,6151,456,2168,456,6151
GENE.1023,chr5;chr5,64065;64332,64133;65489,+;+,1227,0,0,3,0,21,0,16,0,21
GENE.1024,chr5;chr5,68930;69823,69652;70113,+;+,1014,3311,3373,3270,3292,3204,171,887,171,3164
GENE.1025,chr5;chr5,74509;74980,74808;79842,+;+,5163,4384,5177,5125,7584,5060,299,1064,221,4752
GENE.1026,chr5,81134,82336,-,1203,4736,4719,4646,4268,3883,264,1114,264,3883
GENE.1027,chr5,84041,85237,-,1197,0,0,2,0,41,0,0,0,41
GENE.1028,chr5,86820,89201,-,2382,1406,1396,1392,1344,1239,124,436,124,1239
GENE.1029,chr5,91361,94591,+,3231,1110,1119,1109,1090,1131,92,373,87,1129
GENE.103,chr1;chr1,53778;54938,54788;55006,-;-,1080,0,13,9,6,31,0,53,0,31
GENE.1030,chr5;chr5,95161;96242,95914;96633,-;-,1146,0,1,3,0,36,0,2,0,36
GENE.1031,chr5;chr5;chr5,97657;97916;98322,97711;98105;101895,+;+;+,3819,0,4,3,0,88,0,60,0,88
GENE.1032,chr5,102193,102897,-,705,668,668,667,684,713,163,360,163,713
GENE.1033,chr5;chr5,104256;104485,104334;105737,+;+,1332,4275,4219,4089,3297,2478,72,1040,72,2478
GENE.1034,chr5,107075,107938,-,864,420,420,426,408,393,22,70,22,391
GENE.1035,chr5,109898,111691,-,1794,0,14,33,0,58,0,89,0,53
GENE.1036,chr5,114149,115933,+,1785,0,6,0,0,51,0,118,0,44
GENE.1037,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,116451;116599;116818;117017;117250;119033;119358;119522,116483;116715;116919;117091;118856;119248;119429;119969,-;-;-;-;-;-;-;-,2670,0,18,26,0,60,0,56,0,60
GENE.1038,chr5;chr5,120107;120819,120657;121455,-;-,1188,332,334,347,338,331,40,118,40,331
GENE.1039,chr5,122449,122862,+,414,116,116,115,94,93,0,20,0,93
GENE.104,chr1,56690,56893,-,204,0,0,0,0,3,0,0,0,3
GENE.1040,chr5;chr5;chr5,123332;123590;123833,123407;123690;123904,-;-;-,249,4,4,6,4,5,0,4,0,5
GENE.1041,chr5;chr5;chr5;chr5;chr5,125116;125417;125625;125830;126112,125217;125468;125734;125951;126514,+;+;+;+;+,789,4384,4375,4358,4308,4260,353,1328,353,4260
GENE.1042,chr5,127064,128677,-,1614,80,79,82,74,105,0,14,0,105
GENE.1043,chr5,130453,133392,+,2940,0,9,15,0,89,0,200,0,88
GENE.1044,chr5,135004,135930,-,927,246,247,243,246,262,24,65,24,262
