Geneid,Chr,Start,End,Strand,Length,Ground Truth,DeepSAP,DRAGEN,novoSplice,STAR,HISAT2,Subjunc,HISAT2+EASTR,STAR+EASTR
GENE.1,chrM,3,33,+,31,0,0,0,0,0,0,0,0,0
GENE.10,chrM,625,724,-,100,0,0,0,0,0,0,0,0,0
GENE.100,chr1;chr1,42367;43775,43617;46507,-;-,3984,2912,4264,4097,5114,4422,3873,2046,3873,4422
GENE.1000,chr4;chr4;chr4;chr4;chr4;chr4;chr4,1129660;1130046;1130108;1130450;1130571;1130824;1130843,1130043;1130106;1130448;1130569;1130732;1130841;1130893,-;-;-;-;-;-;-,1137,162,162,162,162,164,130,152,130,164
GENE.1001,chr4;chr4,1134415;1135098,1134954;1135175,-;-,618,473,473,473,591,481,335,436,335,481
GENE.1002,chr4;chr4,1136586;1136759,1136651;1137385,+;+,693,0,0,0,0,0,0,0,0,0
GENE.1003,chr4;chr4;chr4,1141222;1141490;1141563,1141314;1141561;1142096,+;+;+,699,0,0,0,0,2,0,0,0,2
GENE.1004,chr4;chr4,1143992;1144267,1144129;1144824,+;+,696,16,16,16,16,19,16,16,16,19
GENE.1005,chr4;chr4,1146672;1147650,1147538;1147697,-;-,915,1676,1674,1674,1680,1686,1509,1552,1509,1686
GENE.1006,chr4,1149274,1150188,+,915,0,260,257,312,261,247,7,247,261
GENE.1007,chr4;chr4,1152504;1153580,1153424;1153633,-;-,975,520,520,520,520,526,448,498,448,526
GENE.1008,chr4;chr4,1156423;1166601,1165863;1167821,+;+,10662,0,3,1,0,45,0,23,0,45
GENE.1009,chr4;chr4,1169980;1170264,1170033;1171184,+;+,975,949,961,948,950,953,910,906,910,953
GENE.101,chr1;chr1,50363;50572,50416;51636,+;+,1119,1164,1169,1167,1168,1170,1118,1124,1118,1170
GENE.1010,chr4;chr4,1173053;1175160,1174435;1180226,-;-,6450,0,16,10,272,50,85,39,85,44
GENE.1011,chr5;chr5,20929;27215,26310;28456,+;+,6624,8158,15554,14674,15786,15730,13042,4718,13042,15730
GENE.1012,chr5,29233,29304,-,72,0,0,0,0,0,0,0,0,0
GENE.1013,chr5;chr5,29776;30910,30744;30963,-;-,1023,401,401,402,401,406,376,385,376,406
GENE.1014,chr5;chr5,33056;34325,34126;34378,-;-,1125,1588,1588,1589,1604,1601,1420,1459,1420,1601
GENE.1015,chr5;chr5,36464;37496,37324;37564,-;-,930,922,922,923,926,956,695,886,695,956
GENE.1016,chr5;chr5;chr5,39443;40077;40420,40075;40298;40488,-;-;-,924,324,324,324,324,337,277,303,277,337
GENE.1017,chr5,41129,41403,-,275,0,0,0,0,0,0,0,0,0
GENE.1018,chr5;chr5,43327;47612,47481;47761,-;-,4305,13706,14104,15827,22676,19158,17880,12787,17100,19128
GENE.1019,chr5;chr5;chr5,50422;50695;52325,50514;52218;52510,-;-;-,1803,1654,1654,1654,1665,1735,1460,1577,1460,1735
GENE.102,chr1,53169,53280,-,112,0,0,0,0,0,0,0,0,0
GENE.1020,chr5;chr5,55841;56288,56038;56872,+;+,783,1376,1376,1376,1376,1376,1240,1301,1240,1376
GENE.1021,chr5;chr5;chr5;chr5,58037;58750;59367;59619,58608;59149;59495;59726,-;-;-;-,1209,7170,7194,7170,7272,7283,6516,6855,6516,7283
GENE.1022,chr5;chr5;chr5;chr5,58037;58786;59367;59619,58608;59149;59495;59726,-;-;-;-,1173,7160,7184,7160,7262,7273,6506,6845,6506,7273
GENE.1023,chr5;chr5,64065;64332,64133;65489,+;+,1227,0,0,0,0,2,0,0,0,2
GENE.1024,chr5;chr5,68930;69823,69652;70113,+;+,1014,3207,3209,3207,3281,3220,2822,2928,2548,3218
GENE.1025,chr5;chr5,74509;74980,74808;79842,+;+,5163,4424,4522,5296,8092,6098,5744,4154,4216,5982
GENE.1026,chr5,81134,82336,-,1203,4740,4740,4740,4768,5267,4353,4619,4353,5267
GENE.1027,chr5,84041,85237,-,1197,0,0,0,0,6,0,0,0,6
GENE.1028,chr5,86820,89201,-,2382,1398,1398,1398,1402,1411,1235,1319,1235,1411
GENE.1029,chr5,91361,94591,+,3231,1084,1086,1086,1096,1109,962,1043,961,1083
GENE.103,chr1;chr1,53778;54938,54788;55006,-;-,1080,0,1,12,4,2,9,2,9,2
GENE.1030,chr5;chr5,95161;96242,95914;96633,-;-,1146,0,0,0,0,2,0,0,0,2
GENE.1031,chr5;chr5;chr5,97657;97916;98322,97711;98105;101895,+;+;+,3819,0,0,0,0,8,0,1,0,8
GENE.1032,chr5,102193,102897,-,705,672,672,672,674,695,625,659,625,695
GENE.1033,chr5;chr5,104256;104485,104334;105737,+;+,1332,4294,4294,4294,4328,4335,3657,4056,3657,4335
GENE.1034,chr5,107075,107938,-,864,338,338,338,342,350,330,330,330,350
GENE.1035,chr5,109898,111691,-,1794,0,0,1,0,7,1,3,1,7
GENE.1036,chr5,114149,115933,+,1785,0,1,3,0,5,0,0,0,5
GENE.1037,chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5,116451;116599;116818;117017;117250;119033;119358;119522,116483;116715;116919;117091;118856;119248;119429;119969,-;-;-;-;-;-;-;-,2670,0,0,3,0,12,0,9,0,12
GENE.1038,chr5;chr5,120107;120819,120657;121455,-;-,1188,378,378,378,386,380,353,364,353,380
GENE.1039,chr5,122449,122862,+,414,106,106,106,106,113,103,103,103,113
GENE.104,chr1,56690,56893,-,204,0,0,0,0,1,0,0,0,1
GENE.1040,chr5;chr5;chr5,123332;123590;123833,123407;123690;123904,-;-;-,249,1,1,1,1,1,1,1,1,1
GENE.1041,chr5;chr5;chr5;chr5;chr5,125116;125417;125625;125830;126112,125217;125468;125734;125951;126514,+;+;+;+;+,789,4081,4081,4082,4233,4105,3358,3674,3358,4105
GENE.1042,chr5,127064,128677,-,1614,76,76,76,78,87,60,72,60,87
GENE.1043,chr5,130453,133392,+,2940,0,0,2,0,2,0,3,0,2
